system:index,PfafIDDomWW_monthY2014M12,countDomWW_monthY2014M12,meanDomWW_monthY2014M12,.geo
0,111011,2536,4.696800878241337E-4,
1,111012,3921,4.242026029061873E-6,
2,111013,1194,1.2375139687761832E-5,
3,111014,5605,2.4459798125058786E-6,
4,111015,21769,1.9317960644191868E-5,
5,111016,2382,2.3216925849784685E-7,
6,111017,11168,8.35674135732708E-6,
7,111018,2509,2.1469374728505328E-7,
8,111019,8353,1.6094326832081313E-6,
9,111020,14779,7.410991351820054E-7,
10,111030,6961,7.4307079532372686E-6,
11,111041,17205,2.977088700213975E-6,
12,111042,6643,3.2408180038267526E-6,
13,111043,349,4.078614348118614E-6,
14,111044,6597,4.131037122629369E-6,
15,111045,7591,3.118382371620852E-6,
16,111046,4623,1.0017661253223332E-6,
17,111047,903,4.0356594461749265E-6,
18,111048,4457,4.041371480107257E-6,
19,111049,4490,2.9886007792026764E-6,
20,111050,20250,4.31692292514516E-6,
21,111060,5660,2.2587231294704908E-5,
22,111070,13788,2.391029070984925E-4,
23,111081,5223,9.923791652096677E-5,
24,111082,18754,1.7827316378272505E-5,
25,111083,6133,1.4847052154487828E-5,
26,111084,15194,2.3948876043038254E-5,
27,111085,10124,4.72920340297688E-6,
28,111086,2528,1.7237211416172446E-6,
29,111087,13852,5.59739339813144E-6,
30,111088,3118,1.5531015152947847E-5,
31,111089,2844,1.5731496065762756E-5,
32,111090,510,7.603721337706215E-6,
33,111091,212,1.8878425490441924E-4,
34,111092,2946,1.9414816149943443E-4,
35,111093,19956,3.559172004742498E-5,
36,111094,2485,7.76881104663874E-6,
37,111095,1794,4.7756500167673625E-6,
38,111096,2707,2.0318947829705118E-5,
39,111097,2700,2.965842377453637E-5,
40,111098,3449,4.139614024269747E-5,
41,111099,5594,6.004462041320908E-6,
42,112011,3093,1.2808305970985176E-6,
43,112012,21200,1.3653238626688683E-6,
44,112013,15552,1.7459174163356272E-6,
45,112014,34480,1.6957562789263914E-6,
46,112015,4666,9.356434383055742E-7,
47,112016,11966,4.760825507295211E-6,
48,112017,13480,3.054349401646491E-6,
49,112018,14831,5.121659378624459E-6,
50,112019,46077,7.408887837006151E-6,
51,112020,1906,3.126747365741028E-6,
52,112030,2337,6.055074405375868E-7,
53,112041,4145,3.1779528114060557E-6,
54,112042,9610,1.8774185166138135E-6,
55,112043,1103,2.608432460551759E-6,
56,112044,5576,1.929296154769277E-6,
57,112045,2564,1.8000851367131545E-6,
58,112046,18320,3.688249163023146E-6,
59,112047,22718,3.5869240974506274E-6,
60,112048,6256,5.80487574382716E-6,
61,112049,17069,1.0444855945477555E-5,
62,112050,8062,2.0202950342060373E-6,
63,112060,9065,2.7498364120378775E-6,
64,112070,2276,4.291391908566323E-6,
65,112111,39164,1.5451596479342845E-5,
66,112112,4819,2.8387694546389447E-6,
67,112113,7180,1.8061289411741214E-6,
68,112114,4624,4.280637614619414E-6,
69,112115,1326,2.5016122837780397E-6,
70,112116,4584,4.231572825566592E-6,
71,112117,2017,1.5165315440794511E-6,
