system:index,PfafIDDomWN_monthY2014M11,countDomWN_monthY2014M11,meanDomWN_monthY2014M11,.geo
0,111011,2536,3.753818503925317E-4,
1,111012,3921,4.366668804207855E-6,
2,111013,1194,1.2754721874853644E-5,
3,111014,5605,2.5190108775184467E-6,
4,111015,21769,1.7578861858206405E-5,
5,111016,2382,2.391553122498504E-7,
6,111017,11168,4.18543613861967E-6,
7,111018,2509,2.2054362712185913E-7,
8,111019,8353,1.6532604975733988E-6,
9,111020,14779,7.601566023222811E-7,
10,111030,6961,7.6283565618385185E-6,
11,111041,17205,3.0529689618635956E-6,
12,111042,6643,3.3226094731871842E-6,
13,111043,349,4.178534347577833E-6,
14,111044,6597,4.220131855027364E-6,
15,111045,7591,3.1944891911192575E-6,
16,111046,4623,1.0256909855644522E-6,
17,111047,903,4.128629413297524E-6,
18,111048,4457,4.130222892887288E-6,
19,111049,4490,3.051531676918655E-6,
20,111050,20250,4.42213594490503E-6,
21,111060,5660,2.305766078181677E-5,
22,111070,13788,1.1538921800319133E-4,
23,111081,5223,7.279220049926672E-5,
24,111082,18754,1.8381133289460885E-5,
25,111083,6133,1.528283297512021E-5,
26,111084,15194,2.080577023451355E-5,
27,111085,10124,4.896242325222446E-6,
28,111086,2528,1.7839381985943449E-6,
29,111087,13852,5.1141017110835825E-6,
30,111088,3118,1.3051874759589403E-5,
31,111089,2844,1.572218197664306E-5,
32,111090,510,7.788744521084877E-6,
33,111091,212,8.729676782484205E-5,
34,111092,2946,1.1978694730237688E-4,
35,111093,19956,3.189587308634822E-5,
36,111094,2485,7.677983157180711E-6,
37,111095,1794,4.827160794954268E-6,
38,111096,2707,1.9186985210004716E-5,
39,111097,2700,1.7929518431851367E-5,
40,111098,3449,3.7896766207920696E-5,
41,111099,5594,6.0710042196107795E-6,
42,112011,3093,1.101106687978353E-6,
43,112012,21200,1.0504214717930261E-6,
44,112013,15552,1.1783806116757786E-6,
45,112014,34480,1.7066081615573313E-6,
46,112015,4666,8.557821265375066E-7,
47,112016,11966,4.874183549742236E-6,
48,112017,13480,3.109327698180029E-6,
49,112018,14831,5.2200217533327396E-6,
50,112019,46077,7.05652746997918E-6,
51,112020,1906,3.123011017064665E-6,
52,112030,2337,5.846453510732356E-7,
53,112041,4145,2.558771889197317E-6,
54,112042,9610,1.5800648375180832E-6,
55,112043,1103,1.6372619271470928E-6,
56,112044,5576,1.482957967320174E-6,
57,112045,2564,1.7606484591846172E-6,
58,112046,18320,3.5382640281818444E-6,
59,112047,22718,3.509581932116932E-6,
60,112048,6256,5.949138446736363E-6,
61,112049,17069,1.009233884640455E-5,
62,112050,8062,1.8171934445238872E-6,
63,112060,9065,2.0587301358529957E-6,
64,112070,2276,4.030913071732417E-6,
65,112111,39164,8.81591003237964E-6,
66,112112,4819,2.8819911739502885E-6,
67,112113,7180,1.6879873783660859E-6,
68,112114,4624,2.7476642744024035E-6,
69,112115,1326,2.0472746234174134E-6,
