system:index,count,hybas6ID,max,mean,min,sum,.geo
0,2536,1060000010,0.3917586724034872,0.015426072072294588,1.2415077033855368E-5,2.909229405760449E7,
1,3921,1060000100,0.03348676225894813,0.0011566748249162656,0.0,3384195.871588806,
2,1194,1060000110,0.03348676225894813,0.0034821514506074335,2.7999401178250538E-9,3107551.579138219,
3,5605,1060000150,0.0029991389559851284,1.1928096903326766E-4,0.0,501727.7422429506,
4,21769,1060000160,0.05741137410253605,0.0028082873156378145,0.0,4.660932297023114E7,
5,2382,1060000790,1.5997398397221428E-4,3.6791040437778575E-6,0.0,6732.145493978898,
6,11168,1060000800,0.035866631859538554,4.2324737542666726E-4,0.0,3657070.06993197,
7,2509,1060001080,0.0018652282180908243,6.498498821610263E-6,0.0,12710.107078676765,
8,8353,1060001090,0.009023096117486489,1.704259064445464E-4,0.0,1116605.4631852394,
9,14779,1060001370,0.009023096117486489,4.983754289408556E-5,0.0,580472.375069586,
10,6961,1060001380,0.009023096117486489,1.2411917706328088E-4,1.1658565992191466E-11,683247.6583339823,
11,17205,1060001510,3.1594611503328693E-4,3.7586053974681375E-5,9.841942231964695E-11,514508.0435619197,
12,20250,1060001520,0.004230015244542128,9.489437183987615E-5,0.0,1533954.1898167296,
13,5660,1060002290,0.0035252935329937087,2.9015183027244974E-4,0.0,1325468.2499160103,
14,13788,1060002300,0.2659840788773662,0.003927551885972081,0.0,4.3926343361676104E7,
15,5223,1060002760,0.2659840788773662,0.011951810558377607,2.7803034655151146E-10,5.08497997464368E7,
16,212,1060002770,0.13301194059597207,0.07778726822672362,2.7803034655151146E-10,1.3384735164538711E7,
17,2946,1060002800,0.2659840788773662,0.02568151716737646,2.1046275770365646E-4,6.157912238289941E7,
18,19956,1060002810,0.0763760896021177,5.067446028757853E-4,0.0,8293599.95286786,
19,2485,1060003550,0.014613283734198833,4.928387003270988E-4,4.6134499165162415E-11,1006814.9142082616,
20,1794,1060003560,0.03806427821621311,0.001068046266271892,0.0,1575945.7152745933,
21,2707,1060003650,0.03806427821621311,0.0034696271116335256,2.4166018264468705E-8,7736791.21086615,
22,2700,1060003660,0.027029112519910737,0.0019163659702542716,0.0,4265879.25613316,
23,3449,1060003770,0.03802467637089744,0.0035086433777796536,5.97196550155465E-6,9995102.211118128,
24,5594,1060003780,0.011555731083452207,2.2679704974809455E-4,0.0,1094355.6662460912,
25,39164,1060003990,0.011029371089501286,1.8211341905695092E-4,0.0,5949911.277884867,
26,4819,1060005140,2.1670322783494522E-4,4.336358782935412E-5,2.9052957699432773E-8,175680.5332585563,
27,7180,1060005150,1.310942160107188E-4,3.2638133636831136E-5,2.270227646571221E-7,196982.53883425027,
28,4624,1060005300,0.0599475819176906,0.0069376024489382696,7.07466823429954E-6,2.7008355175784383E7,
29,1326,1060005310,7.816087745649833E-5,3.26691512976264E-5,4.786204137933656E-6,36440.83814972262,
30,4584,1060005340,0.07867763249067172,0.014102637818097865,1.4032123812617704E-5,5.446096921303145E7,
31,2017,1060005350,1.6842804302669615E-4,3.778809523434258E-5,8.74415190986197E-6,64145.21471664936,
32,4443,1060005420,0.07626023627495254,0.006728308669582145,8.862878116989285E-6,2.5189666456502486E7,
33,6741,1060005430,0.007709927146574544,1.3045059328680304E-4,0.0,740113.246889159,
34,6306,1060005720,0.004558630435889105,2.1243290962057683E-5,4.82312822367568E-11,112749.99395691491,
35,3588,1060005730,1.9066180111631324E-4,3.1040560524692634E-5,0.0,93618.02177813738,
36,5675,1060005860,4.515844706664985E-5,2.3141830440564395E-5,0.0,110554.8802075795,
37,567,1060005870,1.8790883975978437E-5,6.042449821440037E-6,0.0,2879.430315247008,
38,4941,1060005880,4.461789908982581E-5,2.0295240086794488E-5,8.736818790245082E-7,84373.4301314484,
39,17030,1060005890,5.166704928147214E-4,1.2700917883431548E-5,0.0,181598.147335587,
40,5677,1060006520,2.229495185388043E-4,2.9151038814424906E-5,2.8537670497680225E-6,138784.3586341229,
41,13172,1060006530,1.2696453411386438E-4,1.6521870329649695E-5,0.0,182741.29004598426,
42,33905,1060006850,6.191006366779584E-5,1.7913376015299205E-5,3.6467302434336392E-9,510772.9520948523,
43,8315,1060006860,1.1690626040039918E-4,2.779562388657521E-5,0.0,194761.70541502867,
44,30830,1060007000,4.586916840902937E-4,2.733553813910198E-5,0.0,710007.8615798738,
45,806,1060007010,2.5407368667268482E-5,1.716742517201528E-5,2.926068869744142E-6,12074.909761337807,
