system:index,PfafIDrunoff_annua,countrunoff_annua,meanrunoff_annua,.geo
413,117802,8138,0.28848655957520597,
414,117803,4481,0.29904937880903765,
415,117804,4823,0.35839546414790774,
416,117805,9139,0.26880077194856694,
417,117806,4243,0.22012032571371867,
418,117807,14182,0.22517097317703264,
419,117808,4009,0.30961000157546126,
420,117809,5404,0.25691138469258085,
421,117911,4123,0.3545894717033619,
422,117912,11369,0.3838480684166375,
423,117913,4644,0.2851257448410355,
424,117914,9745,0.43578622426197444,
425,117915,2836,0.18381146332176418,
426,117916,4514,0.41443364378385006,
427,117917,870,0.3264157452155978,
428,117918,3489,0.38249358186109494,
429,117919,3275,0.33331006360269266,
430,117920,12385,0.3339045459350464,
431,117930,3720,0.4315237053448209,
432,117940,17975,0.42111686588983865,
433,117950,34741,0.3794400314827984,
434,117960,27987,0.5090701767857714,
435,117970,4677,0.3717068777248348,
436,117980,23322,0.36575200878237235,
437,117990,470,0.6130405776969706,
438,121000,5165,0.4646548498771398,
439,122100,13683,0.4085970528295451,
440,122211,6406,0.3157657026259427,
441,122212,1855,0.4290855277222131,
442,122213,3138,0.4341860231427266,
443,122214,5851,0.5553689019711844,
444,122215,3894,0.33116150693764057,
445,122216,2115,0.29157954773557143,
446,122217,20739,0.3904366291414381,
447,122218,7387,0.3679321791226707,
448,122219,381,0.6360097630996583,
449,122220,10173,0.3498056352367006,
450,122230,15251,0.6495676152350196,
451,122240,13981,0.3086605494345774,
452,122250,4175,0.8639283390496271,
453,122260,9898,0.3678497022259608,
454,122270,25323,0.7907300893522797,
455,122281,58,0.8787454519943996,
456,122282,18679,0.5306909793336831,
457,122283,8866,0.6524890047065051,
458,122284,3054,0.6140176920299638,
459,122285,1410,0.5911418439414396,
460,122286,2459,0.6507754679945524,
461,122287,2283,0.6683803305051635,
462,122288,5474,0.808940956649532,
463,122289,4972,0.5569414610957554,
464,122290,14591,0.2805602152829034,
465,122310,31891,0.20859494894789557,
466,122321,1222,0.16651279091987792,
467,122322,23462,0.3123667763045932,
468,122323,1012,0.193007688520171,
469,122324,26869,0.20925029313205673,
470,122325,566,0.17878163836980585,
471,122326,979,0.1670213423455848,
472,122327,743,0.15491115857606771,
473,122328,2014,0.17896481360193955,
474,122329,9878,0.17938027855398997,
475,122330,1421,0.22084165613325682,
476,122340,19786,0.25777471063491186,
477,122350,11368,0.23154074545800812,
478,122360,35190,0.29509599874928305,
479,122371,6512,0.27260259473119075,
480,122372,2747,0.189828734805795,
481,122373,5796,0.27825811505160003,
482,122374,6294,0.29807370736803646,
483,122375,2608,0.3483803236682765,
484,122376,11494,0.2473325056037761,
485,122377,3260,0.2957695644751599,
486,122378,2622,0.20273574165843167,
487,122379,170,0.324132309875147,
488,122380,30585,0.22835225421236793,
489,122390,928,0.15771958276482637,
490,122410,9362,0.14113425908105645,
491,122421,1196,0.20488367575116226,
492,122422,18009,0.3476893018655007,
493,122423,7491,0.11702006079298333,
494,122424,10799,0.15947583742728255,
495,122425,914,0.0897716610079694,
496,122426,4254,0.27701330453755846,
497,122427,5533,0.2793774663480855,
498,122428,2222,0.18298871724591756,
499,122429,3051,0.43501129994104376,
500,122430,27772,0.2379035742843451,
501,122440,12555,0.14151301691991236,
502,122450,18864,0.17833482239194223,
503,122460,7469,0.38525210335761534,
504,122470,3244,0.17076419079682945,
505,122480,5516,0.1727197515647808,
506,122491,6706,0.1731015696178781,
507,122492,3053,0.38348949386786285,
508,122493,1532,0.19070305691682704,
509,122494,2788,0.13640302302285143,
510,122495,5977,0.11817767648862974,
511,122496,5303,0.16570214927316013,
512,122497,1273,0.15622330677199522,
513,122498,3034,0.21029267479636388,
514,122499,10962,0.24342574640862427,
515,122500,23063,0.1502208732603017,
516,122611,9237,0.23712195604231942,
517,122612,5371,0.2043068400644203,
518,122613,192,0.32867281828239814,
519,122614,4748,0.22206372252254364,
520,122615,4622,0.20537452838372233,
521,122616,10095,0.13491452696369588,
522,122617,15119,0.13038195213742226,
523,122618,8593,0.09362394639591626,
524,122619,19409,0.061760652409610296,
525,122620,12619,0.2708118059279392,
526,122630,2524,0.08118849808007664,
527,122640,29501,0.5232044550356574,
528,122650,5639,0.08238384914147795,
529,122660,16242,0.2255998740977751,
530,122670,3328,0.253519365128468,
531,122680,11281,0.5568406049039827,
532,122690,29803,0.5322470928033302,
533,122710,5407,0.1686832382801725,
534,122722,5618,0.21323710287710262,
535,122723,11478,0.20694598038255677,
536,122724,14659,0.14285636629461534,
537,122725,8871,0.13419393018282164,
538,122726,3932,0.05901828025856655,
539,122727,1890,0.08184804239595178,
540,122728,7726,0.09411371428627359,
541,122729,8395,0.10075403332275631,
542,122730,4711,0.16327430042404822,
543,122740,8391,0.17758987618039307,
544,122750,4912,0.17267362191110208,
545,122760,12525,0.11086772688473877,
546,122770,24193,0.18565513984529086,
547,122781,503,0.08176373980477493,
548,122782,2807,0.0718967045920689,
549,122783,2653,0.0727898835953098,
550,122784,25385,0.023341326103321996,
551,122785,1998,0.037749320188475204,
552,122786,1849,0.01906557941895515,
553,122787,5021,0.028288798199735288,
554,122788,7791,0.08258645213187357,
555,122789,5635,0.057509207289698855,
556,122790,26804,0.05927801031073072,
557,122810,16351,0.013524401042534861,
558,122820,26020,0.005433787079571257,
559,122830,15823,0.006733099260321719,
560,122841,427,0.007921951713769646,
561,122842,3197,0.0033649693359915703,
562,122843,2941,0.0016264355452427904,
563,122844,5885,0.004646288272223783,
564,122845,151,0.004035306157197668,
565,122846,18775,0.009990100699736172,
566,122847,2010,0.014045257646946205,
567,122848,6351,0.03805477108227015,
568,122849,6829,0.03788998004579768,
569,122851,10,0.011415982618927956,
570,122852,5277,0.019947419009303708,
571,122853,162,0.011540646443468331,
572,122854,5104,0.012253211627291167,
573,122855,11928,0.040336782648718934,
574,122856,6580,0.07266365208326075,
575,122857,2106,0.084322650480497,
576,122858,6842,0.0299067158572229,
577,122859,830,0.07449487405775443,
578,122860,9486,0.02179199926188047,
579,122870,11735,0.061231610796875134,
580,122880,12156,0.05028170811502348,
581,122890,11676,0.08244940396756856,
582,122911,7164,0.022693356940439228,
583,122912,18732,0.03042798772522667,
584,122913,17705,0.011491408129462762,
585,122914,9276,0.015214731250031352,
586,122915,11505,0.022173963826812346,
587,122916,10313,0.08626913342603632,
588,122917,400,0.028537257908381825,
589,122918,13061,0.04436926252891016,
590,122919,11179,0.06107239256649599,
591,122921,609,0.11455475318943602,
592,122922,9754,0.09908234040040068,
593,122923,614,0.079360748685478,
594,122924,15537,0.08826502363148274,
595,122925,2123,0.11854105066510634,
596,122926,5763,0.07823392344121823,
597,122927,501,0.14449084519915584,
598,122928,6274,0.060773607858744874,
599,122929,9474,0.05416654548594029,
600,122930,30101,0.0630488532788635,
601,122941,75,0.2673870439277492,
602,122942,6053,0.11171638831824392,
603,122943,2293,0.09190197195652089,
604,122944,6592,0.0908136212722886,
605,122945,2501,0.11034414057634381,
606,122946,7806,0.06369770843679301,
607,122947,17374,0.08148738412446152,
608,122948,3721,0.14957374660938058,
609,122949,9816,0.14431398346812693,
610,122950,306,0.22767620148073583,
611,122961,3054,0.11424209398121529,
612,122962,3634,0.1026771181370224,
613,122963,1190,0.15173637879298957,
614,122964,25207,0.16746273870017706,
615,122965,3358,0.15947674069651097,
616,122966,6034,0.18302176422314553,
617,122967,2557,0.2289088507406848,
618,122968,27002,0.47440012410968496,
619,122969,14397,0.42348835842499916,
620,122970,33383,0.20068039778701163,
621,122981,643,0.1739547009302892,
622,122982,22493,0.34992396102943135,
623,122983,1336,0.2991409060573387,
624,122984,2966,0.27495114311318913,
625,122985,6665,0.2981004907978944,
626,122986,4664,0.4965147900726299,
627,122987,4784,0.38302623405614994,
628,122988,2411,0.5143768542503512,
629,122989,3747,0.5675945339865069,
630,122990,28675,0.22825419927284138,
631,123010,21462,0.33622858839130443,
632,123021,399,0.44488766531782276,
633,123022,5200,0.5113606424039385,
634,123023,1477,0.514829778884199,
635,123024,11268,0.5525402130342686,
636,123025,1247,0.4713036869444643,
637,123026,4294,0.6275926080665497,
638,123027,6707,0.7887345664840623,
639,123028,4012,0.7666640791770398,
640,123029,3533,0.7882476808436977,
641,123030,1225,0.373162729334584,
642,123040,35382,0.40846332738713687,
643,123050,20751,0.12809806329327422,
644,123061,22208,0.09553345110484038,
645,123062,53679,0.24350960269356312,
646,123063,11792,0.16252374190141664,
647,123064,10011,0.1854863470043021,
648,123065,955,0.1276695535831555,
649,123066,9836,0.1668082723126544,
650,123067,5567,0.13524427790012702,
651,123068,5624,0.13119702758699994,
652,123069,7650,0.13731884044261355,
653,123070,29970,0.0784210768702332,
654,123080,25267,0.06911783852653307,
655,123090,3861,0.06172559571220861,
656,124100,3415,0.053319026128010434,
657,124200,6405,0.03171455109315311,
658,124201,20935,0.028071694121031582,
659,124202,8961,0.004230225816746994,
660,124203,10671,0.018657509617627632,
661,124204,6190,0.01733232422223672,
662,124205,3410,0.008662276697462789,
663,124206,8813,0.034553055800515216,
664,124207,4841,0.019047050313835186,
665,124208,6792,0.0327435847870734,
666,124209,4608,0.015346652416004719,
667,124300,3108,0.09645807024660606,
668,124401,3387,0.10639031548220641,
669,124402,11632,0.09324055337422037,
670,124403,1947,0.12142930719771787,
671,124404,17489,0.17216448492835978,
672,124405,15787,0.18136802493568063,
673,124406,9181,0.14199553022141942,
674,124407,15634,0.09897407224624874,
675,124408,7792,0.03142956030792638,
676,124409,21469,0.1298741131892578,
677,124501,7251,0.08083643577676095,
678,124502,18742,0.10347987287050321,
679,124503,9817,0.11164670149916589,
680,124504,10116,0.07558448417015803,
681,124505,8244,0.14475193875955386,
682,124506,17495,0.08139644317635165,
683,124507,1655,0.05339161305465083,
684,124508,19929,0.07133165167460244,
685,124509,3805,0.04042389621624527,
686,124600,36293,0.06338081286374815,
687,124700,3227,0.02706239637619559,
688,124800,24464,0.029048797428502363,
689,124910,814,0.021365428690990538,
690,124920,20398,0.020561976011792,
691,124931,4528,0.0069001667593390275,
692,124932,12529,0.026272881510789232,
693,124933,6339,0.019438491997585527,
694,124934,6158,0.01472243035582015,
695,124935,455,0.043021222616191256,
696,124936,10652,0.029398631891912143,
697,124937,5088,0.019874739733690857,
698,124938,2932,0.022729917012202394,
699,124939,1244,0.013851815281264421,
700,124940,14766,0.016169462220132408,
701,124950,5280,0.008781029240210528,
702,124960,22318,0.029431922398738073,
703,124970,1182,-8.242073190045319E-7,
704,124980,17130,0.03720269517333308,
705,124990,38051,0.09010697926392877,
706,125100,919,0.1760130869590963,
707,125201,4216,0.19529366659839417,
708,125202,5277,0.10532947506236828,
709,125203,1353,0.13569872511478603,
710,125204,4991,0.13848486897648554,
711,125205,5767,0.19520973995920377,
712,125206,9043,0.16342277174539047,
713,125207,1457,0.30347944608650085,
714,125208,13520,0.16471107718660954,
715,125209,14535,0.21793025889127277,
716,125300,13236,0.37440921511518105,
717,125401,1099,0.11341639216013384,
718,125402,946,0.16311797931722266,
719,125403,174,0.07585565048257843,
720,125404,15472,0.08733269198750189,
721,125405,1666,0.17654591419199944,
722,125406,1092,0.11668007817995492,
723,125407,2852,0.1221163231973441,
724,125408,11142,0.1939133237342328,
725,125409,5118,0.07289254642151406,
726,125510,38763,0.1503924180410646,
727,125520,38719,0.11925657826255469,
728,125531,5689,0.2291387349280952,
729,125532,5982,0.1578437540441767,
730,125533,12727,0.25505755746795233,
731,125534,9070,0.19007082321667437,
732,125535,7937,0.43524284254535656,
733,125536,26970,0.1312741437174206,
734,125537,7383,0.133192537642891,
735,125538,8345,0.12950910833475635,
736,125539,3537,0.16914622500620718,
737,125540,28185,0.11783210331215528,
738,125550,10933,0.16795095150933945,
739,125561,4720,0.22033101473431965,
740,125562,4613,0.12267500372540158,
741,125563,2050,0.20532173505160345,
742,125564,3862,0.07628730092859033,
743,125565,4192,0.13106197295505487,
744,125566,6509,0.07836533737742216,
745,125567,5771,0.04082110691382663,
746,125568,6092,0.009084053063719571,
747,125569,3866,0.050905346983920595,
748,125570,7444,0.1654882850025244,
749,125580,29518,0.05021365886683407,
750,125590,3641,0.10640523727455992,
751,125601,1659,0.037803877410476736,
752,125602,5655,0.19758754066435819,
753,125603,8435,0.03591630062624051,
754,125604,1875,0.022650501577934672,
755,125605,2118,0.01635486840562564,
756,125606,14253,0.026804571361909158,
757,125607,8709,0.024636193229787284,
758,125608,1909,0.002858192695894235,
759,125609,3590,0.023758793790673506,
760,125700,9832,0.04811139869746156,
761,125801,2335,0.02990565625936665,
762,125802,18548,0.041711183531814584,
763,125803,879,0.014399775967028178,
764,125804,25626,0.030644029088932982,
765,125805,3630,0.03827741292699116,
766,125806,2569,0.07933711680187913,
767,125807,3379,0.05212206078919742,
