system:index,PfafIDDomWW_monthY2014M04,countDomWW_monthY2014M04,meanDomWW_monthY2014M04,.geo
0,111011,2536,4.906209376238157E-4,
1,111012,3921,4.431808572087852E-6,
2,111013,1194,1.2938944492780173E-5,
3,111014,5605,2.5619795605600164E-6,
4,111015,21769,2.016898526889413E-5,
5,111016,2382,2.431609059211759E-7,
6,111017,11168,8.754149556403306E-6,
7,111018,2509,2.2543875062929413E-7,
8,111019,8353,1.690571838189514E-6,
9,111020,14779,7.769858418100097E-7,
10,111030,6961,7.782730298576384E-6,
11,111041,17205,3.108467589813359E-6,
12,111042,6643,3.3876934870253707E-6,
13,111043,349,4.252657163352678E-6,
14,111044,6597,4.275728495818005E-6,
15,111045,7591,3.2510783323062484E-6,
16,111046,4623,1.0437064544506505E-6,
17,111047,903,4.197419548629026E-6,
18,111048,4457,4.193907435658428E-6,
19,111049,4490,3.0909625854156677E-6,
20,111050,20250,4.484758356709072E-6,
21,111060,5660,2.3348680767141678E-5,
22,111070,13788,2.4353240795580867E-4,
23,111081,5223,1.0209530421031546E-4,
24,111082,18754,1.8714784717897935E-5,
25,111083,6133,1.5482796785851174E-5,
26,111084,15194,2.535449506168326E-5,
27,111085,10124,5.020415290173642E-6,
28,111086,2528,1.8356221674629705E-6,
29,111087,13852,5.92897230713263E-6,
30,111088,3118,1.6560980397069857E-5,
31,111089,2844,1.6764106948871557E-5,
32,111090,510,8.037685384196413E-6,
33,111091,212,1.9365460375504303E-4,
34,111092,2946,1.9941044055309774E-4,
35,111093,19956,3.67016107967077E-5,
36,111094,2485,8.141537082574492E-6,
37,111095,1794,5.021943120627063E-6,
38,111096,2707,2.135678624693111E-5,
39,111097,2700,3.154939130650277E-5,
40,111098,3449,4.409586647850469E-5,
41,111099,5594,6.250075323706559E-6,
42,112011,3093,1.388226375095729E-6,
43,112012,21200,1.48652122336474E-6,
44,112013,15552,1.8893439283720037E-6,
45,112014,34480,1.8518489722807573E-6,
46,112015,4666,1.0112634819174292E-6,
47,112016,11966,5.175399279072198E-6,
48,112017,13480,3.327418280557899E-6,
49,112018,14831,5.538090548684609E-6,
50,112019,46077,7.980274269530381E-6,
51,112020,1906,3.342743717192167E-6,
52,112030,2337,6.607090336639041E-7,
53,112041,4145,3.4247530327694245E-6,
54,112042,9610,2.0421995404874612E-6,
55,112043,1103,2.847480974504403E-6,
56,112044,5576,2.1185842928590796E-6,
57,112045,2564,1.9664930017331253E-6,
58,112046,18320,4.053230795957667E-6,
59,112047,22718,3.940885020046509E-6,
60,112048,6256,6.3748752484252475E-6,
61,112049,17069,1.1355041078606432E-5,
62,112050,8062,2.2110488657392783E-6,
63,112060,9065,2.968582270336573E-6,
64,112070,2276,4.597770477602337E-6,
65,112111,39164,1.6206952382885768E-5,
66,112112,4819,3.0027361125052875E-6,
67,112113,7180,1.892825737949634E-6,
68,112114,4624,4.55258614725274E-6,
69,112115,1326,2.63031296913696E-6,
70,112116,4584,4.51005507981621E-6,
71,112117,2017,1.5832234612579038E-6,
72,112118,4443,2.2887318961959454E-5,
73,112119,6741,6.095181011118946E-6,
74,112120,6306,4.540778174574335E-7,
75,112130,3588,3.602409287264339E-7,
76,112140,5675,8.40472670060229E-7,
77,112150,567,2.894766680580303E-7,
78,112160,4941,7.653963398186385E-7,
79,112170,17030,8.158129411658032E-7,
80,112180,5677,8.914078775885677E-7,
81,112190,13172,8.456572695733992E-7,
82,112200,33905,1.0923594294363298E-6,
83,112300,8315,1.4559033166368098E-6,
84,112400,30830,1.984234566805649E-6,
85,112500,806,1.355954156476987E-6,
86,112600,7692,1.4804691273731421E-6,
87,112700,9177,1.375334854001675E-6,
88,112801,6769,9.191195764946057E-7,
89,112802,7135,4.931586456445442E-7,
90,112803,17267,3.5040109783263405E-7,
91,112804,9185,2.209166508060465E-6,
92,112805,5556,7.603095466415809E-7,
93,112806,6540,1.702055188921394E-6,
94,112807,9643,8.498204926086752E-7,
95,112808,3496,1.4869993623374451E-6,
96,112809,10746,5.93223765977372E-6,
97,112901,27,2.118589319167363E-6,
98,112902,3218,1.0371300145700771E-6,
99,112903,1169,9.391591719109043E-7,
100,112904,2951,1.4578261303154058E-6,
101,112905,37,1.5155644483318082E-6,
102,112906,2413,1.7911601052255142E-6,
103,112907,779,1.9466606303202713E-6,
104,112908,5204,1.721215083899869E-6,
105,112909,20422,1.2806756424893489E-5,
106,113000,4675,0.0,
107,114001,54761,6.027359442916979E-6,
108,114002,2390,1.397196759777106E-6,
109,114100,1656,7.529057619291721E-6,
110,114210,16802,9.955212201382895E-7,
111,114221,2409,7.416890699724679E-7,
112,114222,5839,8.517287208560044E-7,
113,114223,174,9.36607075334838E-7,
114,114224,77580,1.097408558963212E-5,
115,114225,2250,7.453139810710267E-7,
116,114226,17050,8.560360877564091E-6,
117,114227,24212,1.0796873164264065E-5,
118,114228,5771,9.101319482660572E-6,
119,114229,9213,9.031446840950523E-6,
120,114230,2510,5.258186079889021E-7,
121,114240,9987,7.563463616095871E-6,
122,114250,4469,2.0782626574550987E-5,
123,114260,6798,1.4604162664392607E-5,
124,114270,14977,1.445751951287544E-5,
125,114281,1050,4.034828667784922E-6,
126,114282,6319,3.564336904059596E-6,
127,114283,60,4.884902190781223E-6,
128,114284,14492,9.997684217075747E-6,
129,114285,1297,3.4952210037110232E-6,
130,114286,6726,9.362485695657561E-6,
131,114287,4228,1.4480589048484554E-5,
132,114288,2619,2.4560782973423295E-5,
133,114289,5390,4.6736570269715145E-5,
134,114290,26586,1.1298768749246044E-4,
135,114300,722,4.0808186002817565E-5,
136,114410,3376,1.7720360629853004E-6,
137,114411,11647,2.4412539257184104E-6,
138,114412,3525,3.887958781721792E-6,
139,114413,15127,3.418075787174694E-6,
140,114414,3267,2.6222592564614863E-6,
141,114415,1,1.8891999779477728E-6,
142,114416,4264,3.0092300982815707E-6,
143,114417,542,1.8147140194611727E-6,
144,114418,12522,2.052082449744661E-6,
145,114419,3385,1.7963815767309383E-6,
146,114420,17640,2.179092810247579E-6,
147,114430,12313,3.880215491918884E-6,
148,114441,1660,1.557431908027928E-5,
149,114442,3796,1.2371998004864662E-5,
150,114443,23070,1.793494821063698E-5,
151,114444,3586,8.546609647946181E-6,
152,114445,6066,9.532853654776144E-6,
153,114446,8489,1.1020789898376703E-5,
154,114447,2883,2.0878491929867683E-5,
155,114448,12265,2.829139211146137E-5,
156,114449,8665,4.5768933914277346E-5,
157,114450,473,8.152046453744045E-5,
158,114460,29132,1.6877673799491457E-5,
159,114470,26976,1.470323285487005E-5,
160,114480,17674,1.2698124459420576E-5,
161,114490,22455,2.5270868155688855E-5,
162,114500,27914,2.4138146598561686E-6,
163,114601,5823,2.4064622393660356E-6,
164,114602,10662,5.290861269288669E-6,
165,114603,506,1.6016589505274906E-6,
166,114604,6933,3.2293296666898164E-6,
167,114605,4090,4.4847953620652E-6,
168,114606,5583,1.132201940806903E-5,
