system:index,PfafIDDomWN_yearY2014M12,countDomWN_yearY2014M12,meanDomWN_yearY2014M12,.geo
126,114282,6319,4.156285718116586E-5,
127,114283,60,5.703971806465503E-5,
128,114284,14492,1.1700161149310612E-4,
129,114285,1297,4.093276155253391E-5,
130,114286,6726,1.086064893623471E-4,
131,114287,4228,1.6875194845327994E-4,
132,114288,2619,2.834534615644168E-4,
133,114289,5390,5.359138762158164E-4,
134,114290,26586,0.001234487863148351,
135,114300,722,4.679593622958776E-4,
136,114410,3376,2.0278977421612917E-5,
137,114411,11647,2.124493515596488E-5,
138,114412,3525,4.0011464877501484E-5,
139,114413,15127,2.790499269828013E-5,
140,114414,3267,2.9294807805820626E-5,
141,114415,1,2.203920839287172E-5,
142,114416,4264,2.4761647115295054E-5,
143,114417,542,2.116750720242657E-5,
144,114418,12522,2.0383499928662183E-5,
145,114419,3385,1.9055822361663866E-5,
146,114420,17640,2.3066375085252163E-5,
147,114430,12313,4.103236097142559E-5,
148,114441,1660,1.575196369279148E-4,
149,114442,3796,1.1071391536726713E-4,
150,114443,23070,1.966204911897578E-4,
151,114444,3586,1.001442716315982E-4,
152,114445,6066,1.1189577237146123E-4,
153,114446,8489,1.2972925465510636E-4,
154,114447,2883,2.4420650612551E-4,
155,114448,12265,3.3157359810402317E-4,
156,114449,8665,4.901738993402279E-4,
157,114450,473,4.806015673172423E-4,
158,114460,29132,1.554261360992702E-4,
159,114470,26976,1.6924632738883424E-4,
160,114480,17674,1.463291591993067E-4,
161,114490,22455,2.6169212337929544E-4,
162,114500,27914,2.548208647022101E-5,
163,114601,5823,2.7576332332348403E-5,
164,114602,10662,5.4467950965909526E-5,
165,114603,506,1.828162685304924E-5,
166,114604,6933,3.526890373824947E-5,
167,114605,4090,4.192622827280183E-5,
168,114606,5583,6.515520499971494E-5,
169,114607,21267,2.8878891410468833E-5,
170,114608,3869,1.1887713662979425E-5,
171,114609,2978,1.3818360140561465E-5,
172,114701,4745,1.5363427707420956E-4,
173,114702,5013,5.8323053948890796E-5,
174,114703,5019,7.19179978780944E-5,
175,114704,8359,1.6206194977142373E-5,
176,114705,9685,2.7396765006313803E-5,
177,114706,1442,2.2201393877145417E-5,
178,114707,446,1.9850121788630367E-5,
179,114708,1479,1.9014593347357637E-5,
180,114709,13,4.7873942699847404E-5,
181,114801,5712,7.07754323340362E-5,
182,114802,3134,8.281792054764002E-5,
183,114803,856,4.762577080485751E-5,
184,114804,3306,6.323858777133218E-5,
185,114805,5341,7.838234958313822E-5,
186,114806,4465,9.022839848093517E-5,
187,114807,8853,8.425782495842483E-5,
188,114808,9325,2.417668789537869E-4,
189,114809,12520,2.899073919873301E-4,
190,114910,24602,4.2718962749202564E-5,
191,114920,13186,9.186256069876775E-5,
192,114931,367,6.893650485692453E-5,
193,114932,6668,4.8289645580793296E-5,
194,114933,3381,8.146488117178356E-5,
195,114934,4835,1.0237006175834984E-4,
196,114935,10129,8.385673137809684E-5,
197,114936,1413,3.777843782098425E-5,
198,114937,2005,4.413356735209324E-5,
199,114938,7122,9.738265460682676E-5,
200,114939,3723,9.193330529227147E-5,
201,114940,17917,2.1388987693103572E-4,
202,114950,8839,1.6141029013986698E-4,
203,114960,17499,6.3184265505051E-4,
204,114970,3830,2.735643369640428E-4,
205,114980,12419,6.802339732939626E-4,
206,114990,32085,5.657348615266185E-4,
207,115101,71040,4.1301539944383264E-4,
208,115102,2813,8.613364658894971E-4,
209,115103,1057,0.0011300083216554124,
210,115201,4944,2.3090997628095745E-4,
211,115202,7332,5.469859839590511E-4,
212,115203,9279,5.832641875469936E-4,
213,115204,4711,2.3038093220356746E-4,
214,115205,18925,5.328975994616088E-4,
215,115206,1020,1.1482577082517859E-4,
216,115207,6669,1.7776943014408223E-4,
217,115208,4606,3.7386454419228337E-4,
218,115209,6567,0.0012839842392939986,
219,115300,31550,0.001715755779462832,
220,115410,59,2.4499106089149307E-6,
221,115421,2746,7.726240366115835E-5,
222,115422,5910,4.5339353204959076E-5,
223,115423,190,2.3329854701831696E-4,
224,115424,27002,6.163029498265023E-4,
225,115425,317,4.120304859119752E-4,
226,115426,4129,2.68731243573257E-4,
227,115427,2339,4.0801673524660387E-4,
228,115428,1980,1.9818458743310434E-4,
229,115429,11579,0.0011665714571835377,
230,115430,18309,1.389036182309747E-4,
231,115440,14238,4.518160758285375E-4,
232,115451,34,0.0,
233,115452,3041,1.5143471990243287E-4,
234,115453,6141,2.283668175853962E-4,
235,115454,5229,2.4443298147110805E-4,
236,115455,8528,1.9602001822818227E-4,
237,115456,4944,4.893591514101096E-4,
238,115457,740,4.043931016407321E-4,
239,115458,4129,5.588312049844242E-4,
240,115459,17083,0.0011354415074939519,
241,115460,8270,8.512778232471749E-4,
242,115470,9268,0.001837532589300025,
243,115480,12405,0.0012612646393883326,
244,115490,6089,0.0016048964081591356,
245,115501,6,3.051193714495238E-4,
246,115502,8893,4.657509620283871E-4,
247,115503,750,5.163355849380718E-4,
248,115504,2436,4.890332426622222E-4,
249,115505,2096,4.49001250629524E-4,
250,115506,7486,1.7627219121318019E-4,
251,115507,574,3.4407915869246673E-4,
252,115508,7481,2.9806721357846265E-4,
253,115509,7552,1.3768474888603752E-4,
254,115601,269,1.1858255630636861E-5,
255,115602,21806,3.871908272075269E-4,
256,115603,1991,2.741792677451105E-4,
257,115604,2276,0.0012093757470252131,
258,115605,19149,0.002068600917697087,
259,115606,1710,0.0030909840971564267,
260,115607,4877,0.0020150468031089348,
261,115608,12255,0.0012854113962476822,
262,115711,18,0.0,
263,115712,7528,4.0128401183635946E-5,
264,115713,7,0.0,
265,115714,25076,2.049087405310952E-4,
266,115715,13882,2.5341178479875624E-4,
267,115716,6926,5.77640305823407E-4,
268,115717,32235,5.131437872432149E-4,
269,115718,4428,8.057510518783813E-4,
270,115719,27564,0.0017787382301009983,
271,115720,175,0.0011914835436875463,
272,115730,15209,2.7980717715918253E-4,
273,115740,4470,4.7783345601740964E-5,
274,115750,4443,2.624759925059829E-5,
275,115801,15355,5.037512094360103E-4,
276,115802,8564,1.3451511561398953E-4,
277,115803,22718,1.7289371020153685E-4,
278,115804,1554,1.0524275021281652E-5,
279,115805,2794,4.769138345663572E-5,
280,115806,5497,1.985937914591207E-5,
281,115807,2697,4.070301666034556E-6,
282,115808,8272,3.081255225000991E-5,
283,115809,7022,3.8184547736315836E-5,
284,115900,20078,1.0009403845737184E-4,
285,116001,3505,7.516682508336516E-4,
286,116002,38883,2.561443779530085E-4,
287,116003,3319,1.0561847233339804E-4,
288,116004,21261,5.934153512612177E-4,
289,116005,3515,2.2970914523141048E-4,
290,116006,4365,3.9141057317767304E-4,
291,116007,6990,7.534978653335474E-5,
292,116008,3767,1.1175124496240723E-5,
293,116009,7974,7.670600726674647E-5,
294,117000,10611,0.0020268654561860023,
295,117100,200,6.551046765578672E-6,
296,117101,327,3.443319982147123E-4,
297,117102,12545,2.239488394825342E-5,
298,117103,154,4.416395647971342E-6,
299,117104,13065,7.673567591941276E-5,
300,117105,9005,6.186813775012794E-5,
301,117106,6687,1.4810232464513968E-4,
302,117107,528,6.701689770549614E-4,
303,117108,11426,1.9096368475922845E-4,
304,117109,3709,3.329026245370802E-4,
305,117201,2410,2.4020714636219676E-4,
306,117202,9093,2.114105553839786E-4,
307,117203,5632,1.7598059382594776E-4,
308,117204,15089,9.134649000625305E-4,
309,117205,7273,1.934376261332542E-4,
310,117206,15598,5.855120514323886E-4,
311,117207,2233,3.43466113482427E-4,
312,117208,6528,2.697564940681977E-4,
313,117209,47115,0.0026591683481107563,
314,117300,3443,0.026852630582701282,
315,117310,1731,7.247988771952094E-4,
316,117320,9733,4.6649399821814655E-4,
317,117321,35,0.007617416541009593,
318,117322,3445,7.443634354426048E-4,
319,117323,4536,5.085739879588816E-4,
320,117324,8445,0.0011902344914471747,
321,117325,4901,0.0011251576377061577,
322,117326,10718,0.0013748317722713868,
323,117327,860,0.001531335811229864,
324,117328,3379,0.005729541660154585,
325,117329,8495,0.013472215961964934,
326,117331,962,0.0027247540048653766,
327,117332,8998,8.86082988091563E-4,
328,117333,1609,0.00969090866050066,
329,117334,4584,9.330738812333095E-4,
330,117335,130,0.004490409925449021,
331,117336,5124,8.407349790631601E-4,
332,117337,3766,0.0024289675111984267,
333,117338,7822,3.8344547716747274E-4,
334,117339,4481,5.946436805631353E-5,
335,117340,3629,1.5121720071950304E-4,
336,117341,3562,5.9154444111129575E-5,
337,117342,1453,8.33818331943058E-5,
338,117343,225,8.122865996292059E-5,
339,117344,24075,1.1000409048755572E-4,
340,117345,1996,7.084812991351264E-5,
341,117346,2560,5.855293829395917E-4,
342,117347,7977,5.015757614037363E-4,
343,117348,6817,0.0023532374977802387,
344,117349,7746,8.997818354423995E-4,
345,117350,9106,1.4453861678875315E-4,
346,117360,1417,8.414846428209254E-5,
347,117361,8261,2.0143781052205575E-4,
348,117362,4616,6.606051913028877E-5,
349,117363,1954,4.3061875556052336E-5,
350,117364,3249,1.1506355173054072E-4,
351,117365,5139,4.667393204488477E-5,
352,117366,3863,4.823923310014522E-5,
353,117367,10234,4.928399816996399E-4,
354,117368,3636,6.995431287440601E-4,
355,117369,8350,4.906106530932081E-4,
356,117370,289,6.788545163380224E-4,
357,117380,20668,2.754160240125935E-4,
358,117390,8986,0.004084350239066293,
359,117400,31535,6.178192860214048E-4,
360,117410,6659,3.7594725112858007E-4,
361,117420,9684,2.496677123140603E-4,
362,117430,6244,2.539945678903405E-4,
363,117441,7455,1.2268592941555505E-4,
364,117442,30064,1.4535651485143836E-4,
365,117443,1483,1.7389855868157015E-5,
366,117444,4685,1.2557437893558037E-5,
367,117445,6049,2.9851250909487427E-5,
368,117446,6873,6.350606699244116E-5,
369,117447,7098,1.2008354902358926E-5,
370,117448,11424,3.3350680473090595E-4,
371,117449,10133,2.400214146420357E-4,
372,117450,23656,3.0415102179032975E-4,
373,117460,32576,2.148334695232486E-4,
374,117470,3648,4.3204201011137956E-4,
375,117480,6353,6.613563887302868E-4,
376,117490,34383,2.4975357302488743E-4,
377,117501,4101,2.9086474579620555E-4,
378,117502,19773,2.409358414428236E-4,
379,117503,131,3.1336069987651E-4,
380,117504,4880,2.4910391299849596E-4,
381,117505,1891,2.432359071769853E-4,
382,117506,20274,2.3674434319229744E-4,
383,117507,1796,3.214333629367573E-4,
384,117508,7144,4.182233996201101E-4,
385,117509,6695,6.027078378517545E-4,
386,117610,21194,3.19381175145735E-4,
387,117621,20963,1.600623045786395E-5,
388,117622,7510,1.2641309325202369E-5,
389,117623,6148,6.547419531984022E-6,
390,117624,5529,8.158338873258009E-6,
391,117625,3107,1.1936316333548708E-5,
392,117626,5092,1.349207550936961E-5,
393,117627,2338,1.2035572884100572E-5,
394,117628,4803,5.162501057981191E-5,
395,117629,17441,3.153315070898896E-4,
396,117630,7944,2.2087184464140438E-4,
397,117640,12237,2.0612843422040058E-4,
398,117650,27139,8.21764410086519E-5,
399,117660,11080,3.0813632695204474E-5,
400,117670,16159,1.413761994044536E-4,
401,117680,7373,3.938364949596534E-4,
402,117690,8974,3.9261489637692624E-5,
403,117701,4237,7.484123161099775E-5,
404,117702,3062,8.914883182349257E-5,
405,117703,3098,1.6367292601530427E-4,
406,117704,29472,4.704736915452367E-5,
407,117705,3488,1.0371800044689297E-4,
408,117706,12305,8.556276623943756E-5,
409,117707,5022,1.6080307967079928E-4,
410,117708,6600,1.1467445529465513E-4,
411,117709,6,8.497314169920676E-5,
412,117801,19386,1.4014467109722914E-4,
413,117802,8138,1.1341438676952013E-4,
414,117803,4481,5.8123464153981186E-5,
415,117804,4823,1.7852825850068938E-5,
416,117805,9139,5.443287966260367E-5,
417,117806,4243,2.320008885912997E-5,
418,117807,14182,9.802175728904169E-5,
419,117808,4009,1.5215296268616247E-4,
420,117809,5404,1.038649581534429E-4,
421,117911,4254,2.4756817847970013E-4,
422,117912,11369,1.5573710873314654E-4,
423,117913,4828,3.1167542590657615E-4,
424,117914,9748,2.1885137248708574E-4,
425,117915,2892,1.6057111009746926E-4,
426,117916,4522,1.44367280466823E-4,
427,117917,881,1.4039655227360132E-4,
428,117918,3489,2.53370716522436E-4,
429,117919,3366,2.2617521307618534E-4,
430,117920,12385,2.4514013945575654E-4,
431,117930,3842,2.523261596166564E-4,
432,117940,17976,1.3502390707119573E-4,
433,117950,35035,1.2975579506825107E-4,
434,117960,27987,1.6133298874175512E-4,
435,117970,4764,1.7949043140885702E-4,
436,117980,23322,1.2621921403648822E-4,
437,117990,502,2.4424521075123843E-4,
438,121000,5402,1.7488681519805486E-4,
439,122100,13683,8.490931312677072E-5,
440,122211,6406,2.7438556561237647E-4,
441,122212,1855,1.3527673241324633E-4,
442,122213,3138,3.270245843296906E-4,
443,122214,5851,0.003749527967138666,
444,122215,3894,0.0020069158422570113,
445,122216,2115,6.642078836621518E-4,
446,122217,20739,0.0020198948317379836,
447,122218,7387,0.0015423156741645287,
448,122219,381,4.6091280092622867E-4,
449,122220,10173,0.003826491364632609,
450,122230,15251,6.13640814883595E-4,
451,122240,13981,0.0025601571143186353,
452,122250,4175,1.725082063038005E-4,
453,122260,9898,9.270497759786109E-4,
454,122270,25323,2.3337479421907736E-4,
455,122281,58,0.0,
456,122282,18679,3.9700391502413274E-4,
457,122283,8866,2.8079248723705347E-4,
458,122284,3054,3.9820069305300895E-4,
459,122285,1410,5.117060043206282E-4,
460,122286,2459,0.0010133305496113512,
461,122287,2283,3.8216874759509526E-4,
462,122288,5474,1.4581413873330173E-4,
463,122289,4972,4.978287660869013E-4,
464,122290,14591,0.0018382188979072206,
465,122310,31891,7.702803167187586E-5,
466,122321,1222,9.453826218642715E-5,
467,122322,23462,7.80699044172589E-4,
468,122323,1012,9.630108944546515E-5,
469,122324,26869,0.0014979002174980121,
470,122325,566,8.01753608025717E-5,
471,122326,979,3.9172769509782694E-5,
472,122327,743,2.1535561325006786E-4,
473,122328,2014,3.849015781279837E-5,
474,122329,9878,8.805796567414361E-4,
475,122330,1421,8.553567865636381E-5,
476,122340,19786,1.7978820338099201E-4,
477,122350,11368,9.148822607977174E-5,
478,122360,35190,4.091665784094278E-4,
479,122371,6512,2.4496530950031832E-5,
480,122372,2747,3.476775846790024E-5,
481,122373,5796,2.450757124034486E-5,
482,122374,6294,3.509955666825087E-5,
483,122375,2608,1.1988604335956618E-5,
484,122376,11494,6.68679674796807E-4,
485,122377,3260,1.4596184634082978E-5,
486,122378,2622,2.7672010490873556E-5,
487,122379,170,8.172880171646598E-6,
488,122380,30585,0.002550519878864511,
489,122390,928,7.60932921003733E-5,
490,122410,9362,6.152853394032312E-4,
491,122421,1196,6.232096597588182E-4,
492,122422,18009,1.9641398219976433E-4,
493,122423,7491,5.763392881234251E-4,
494,122424,10799,0.001090823673016252,
495,122425,914,2.768963608864485E-4,
496,122426,4254,2.4328296904259437E-4,
497,122427,5533,5.227266487299481E-4,
498,122428,2222,6.210825658492861E-4,
499,122429,3051,2.1362877627111113E-4,
500,122430,27772,6.065046033567396E-4,
501,122440,12555,0.0013518596905386987,
502,122450,18864,6.632407039314837E-4,
503,122460,7469,1.661921817789669E-4,
504,122470,3244,5.157376799887563E-4,
505,122480,5516,0.0011774326166282634,
506,122491,6706,2.85417932491558E-4,
507,122492,3053,3.0944029392253867E-4,
508,122493,1532,1.8346782652487102E-4,
509,122494,2788,8.859424912265759E-4,
510,122495,5977,3.591041477593707E-4,
511,122496,5303,4.2419617774952425E-4,
512,122497,1273,2.2989120539755058E-4,
513,122498,3034,4.1613959647750844E-4,
514,122499,10962,3.9572243673227875E-4,
515,122500,23063,0.002618762156315905,
516,122611,9237,0.001914215771306414,
517,122612,5371,0.0058406498424652935,
518,122613,192,1.1067710762197109E-4,
519,122614,4748,3.91639176702975E-4,
520,122615,4622,0.0012666717461224705,
521,122616,10095,0.001335480034406081,
522,122617,15119,3.648866644376393E-4,
523,122618,8593,3.621048712422096E-4,
524,122619,19409,1.4120733062871163E-4,
525,122620,12619,1.2763872705717284E-4,
526,122630,2524,1.4031400380193378E-4,
527,122640,29501,1.9059387695116918E-4,
528,122650,5639,1.7256922668313428E-4,
529,122660,16242,3.907177840387391E-4,
530,122670,3328,2.5736343267198226E-4,
531,122680,11281,2.257285899797356E-4,
532,122690,29803,0.002076357793329176,
533,122710,5407,8.688120079662389E-4,
534,122722,5618,5.08869593104819E-4,
535,122723,11478,5.689114126152682E-4,
536,122724,14659,9.133939154964711E-4,
537,122725,8871,7.385764475220699E-4,
538,122726,3932,9.827340213630856E-4,
539,122727,1890,8.545370116900509E-4,
540,122728,7726,7.628711865514898E-4,
541,122729,8395,8.167807799671432E-4,
542,122730,4711,5.193840430050045E-4,
543,122740,8391,7.292117615720785E-4,
544,122750,4912,5.204827045196637E-4,
545,122760,12525,6.82239036490518E-4,
546,122770,24193,6.174173501321401E-4,
547,122781,503,1.51988266180079E-4,
548,122782,2807,1.9871156512359754E-4,
549,122783,2653,1.2911826474130506E-4,
550,122784,25385,0.0015026871563420124,
551,122785,1998,4.2073054533260087E-4,
552,122786,1849,6.345337547926651E-4,
553,122787,5021,3.836230625392888E-4,
554,122788,7791,3.8109128158426303E-4,
555,122789,5635,0.0010296132593425962,
556,122790,26804,4.788400033931165E-4,
557,122810,16351,3.201108321984389E-4,
558,122820,26020,4.4528069910670756E-5,
559,122830,15823,6.660965871392775E-5,
560,122841,427,1.207947778735103E-5,
561,122842,3197,4.81149226286111E-6,
562,122843,2941,6.6241649772929094E-6,
563,122844,5885,4.0789975898525106E-6,
564,122845,151,3.335359346014307E-6,
565,122846,18775,5.461673508579019E-6,
566,122847,2010,3.89243203672957E-6,
567,122848,6351,5.299647417672339E-6,
568,122849,6829,5.57309034103922E-6,
569,122851,10,3.0257226835848474E-5,
570,122852,5277,2.793538875335614E-4,
571,122853,162,1.1595379349892638E-4,
572,122854,5104,2.9238281203112295E-4,
573,122855,11928,4.3390645248907144E-5,
574,122856,6580,4.466302463472228E-6,
575,122857,2106,1.0053008984608606E-5,
576,122858,6842,5.983694980314734E-6,
577,122859,830,6.982083784847798E-6,
578,122860,9486,4.213312617477032E-6,
579,122870,11735,2.1579818163378705E-5,
580,122880,12156,1.0825206572743334E-5,
581,122890,11676,1.4767375096390242E-5,
582,122911,7164,4.013354802861673E-4,
583,122912,18732,1.8740528249464882E-4,
584,122913,17705,1.9121224156594304E-4,
585,122914,9276,2.5429120480116547E-4,
586,122915,11505,3.3533985034379623E-4,
587,122916,10313,3.533505217610799E-4,
588,122917,400,3.3854954991457937E-4,
589,122918,13061,2.9903681423283765E-4,
590,122919,11179,3.2047872531159834E-4,
591,122921,609,2.620208611559124E-4,
592,122922,9754,3.2494599868012594E-4,
593,122923,614,4.466643546102678E-4,
594,122924,15537,1.5716536619632193E-4,
595,122925,2123,2.719986105444966E-4,
596,122926,5763,2.7103436176306642E-5,
597,122927,501,2.643374794685029E-4,
598,122928,6274,1.2981185837103044E-5,
599,122929,9474,1.558514267526576E-5,
600,122930,30101,2.6814081306345504E-4,
601,122941,75,2.789695578106671E-4,
602,122942,6053,2.7677773802866273E-4,
603,122943,2293,2.9980893185089364E-4,
604,122944,6592,7.081457871611369E-5,
605,122945,2501,1.7634145166390595E-4,
606,122946,7806,1.3315760359866374E-5,
607,122947,17374,1.2554116416390476E-5,
608,122948,3721,1.1580854641316809E-5,
609,122949,9816,1.374985519939211E-5,
610,122950,306,2.710305958452296E-4,
611,122961,3054,1.3205485984646692E-4,
612,122962,3634,2.2892633638514008E-4,
613,122963,1190,1.3989590126386168E-4,
614,122964,25207,1.1165636020648456E-4,
615,122965,3358,2.2008493532054365E-4,
616,122966,6034,1.3286495450123227E-4,
617,122967,2557,1.6886437936857157E-4,
618,122968,27002,1.838667942673027E-4,
619,122969,14397,1.7035649545000565E-4,
620,122970,33383,8.572325247127427E-5,
621,122981,643,1.4183091741329507E-5,
622,122982,22493,1.4723373561107496E-5,
623,122983,1336,1.6508223307794177E-5,
624,122984,2966,1.5449663798587217E-5,
625,122985,6665,1.587943359358137E-5,
626,122986,4664,5.554272050904054E-5,
627,122987,4784,1.4915661242079555E-5,
628,122988,2411,1.1679234115401417E-5,
629,122989,3747,1.381510566454798E-4,
630,122990,28675,2.169165006776931E-5,
631,123010,21695,8.117167276295984E-5,
632,123021,399,3.4187440376922567E-4,
633,123022,5200,1.9662791341745097E-4,
634,123023,1477,1.435276654671705E-4,
635,123024,11268,6.145724765414858E-5,
636,123025,1247,1.496223113510526E-4,
637,123026,4294,4.771812516843661E-5,
638,123027,6707,1.3190782257104734E-4,
639,123028,4012,6.004355063944151E-4,
640,123029,3533,3.5457784843925936E-5,
641,123030,1242,1.1932180218962722E-4,
642,123040,35384,4.0291561920055726E-4,
643,123050,20914,6.843150909535152E-5,
644,123061,22208,8.048324714780154E-5,
645,123062,53679,0.0013033245712482614,
646,123063,11792,5.241555688513184E-4,
647,123064,10011,0.0010500341531113249,
648,123065,955,3.787739974512804E-4,
649,123066,9836,7.626669376808318E-4,
650,123067,5567,6.579191573580029E-4,
651,123068,5624,5.341242284998886E-4,
652,123069,7650,8.893124258489782E-4,
653,123070,30938,1.3234724447991835E-4,
654,123080,25327,1.0460400235253898E-4,
655,123090,4029,2.881364422643231E-4,
656,124100,3418,3.998607456847934E-4,
657,124200,6405,2.5526038959997855E-5,
658,124201,20935,7.304893176374568E-5,
659,124202,8961,6.37981036908987E-6,
660,124203,10671,7.0974099557191765E-6,
661,124204,6190,5.02025439338661E-6,
662,124205,3410,3.8811903449645544E-6,
663,124206,8813,9.942175196098716E-6,
664,124207,4841,6.884844643446989E-6,
665,124208,6792,1.5363551104072416E-5,
666,124209,4608,9.733036392928018E-5,
667,124300,3108,2.6945770210212895E-4,
668,124401,3387,3.7197651058542774E-5,
669,124402,11632,5.791781393949489E-4,
670,124403,1947,6.82098195357808E-5,
671,124404,17489,0.0027387971146962268,
672,124405,15787,0.0017425339418675283,
673,124406,9181,0.0021062421509086687,
674,124407,15634,0.002964314094592383,
675,124408,7792,0.003114771566391894,
676,124409,21469,0.002541692871423719,
677,124501,7251,2.462234470305559E-5,
678,124502,18742,4.6069036901103807E-4,
679,124503,9817,0.0024123261531063625,
680,124504,10116,2.9444443983991887E-4,
681,124505,8244,0.0010621601484830697,
682,124506,17495,0.003931424945941376,
683,124507,1655,3.216592181170191E-4,
684,124508,19929,3.4681006811270495E-4,
685,124509,3805,5.155775307532133E-4,
686,124600,36293,3.999680389231533E-4,
687,124700,3227,5.591212420544688E-4,
688,124800,24464,1.2328801323133903E-4,
689,124910,814,2.9175826764997367E-4,
