system:index,PfafIDIrrWW_monthY2014M02,countIrrWW_monthY2014M02,meanIrrWW_monthY2014M02,.geo
0,111011,2536,5.193908743952591E-5,
1,111012,3921,0.0,
2,111013,1194,0.0,
3,111014,5605,0.0,
4,111015,21769,0.0,
5,111016,2382,0.0,
6,111017,11168,0.0,
7,111018,2509,0.0,
8,111019,8353,0.0,
9,111020,14779,0.0,
10,111030,6961,0.0,
11,111041,17205,0.0,
12,111042,6643,0.0,
13,111043,349,0.0,
14,111044,6597,0.0,
15,111045,7591,0.0,
16,111046,4623,0.0,
17,111047,903,0.0,
18,111048,4457,0.0,
19,111049,4490,0.0,
20,111050,20250,0.0,
21,111060,5660,6.409521063201213E-6,
22,111070,13788,3.863048977603188E-4,
23,111081,5223,0.0021213396553834136,
24,111082,18754,2.974071451245973E-8,
25,111083,6133,0.0,
26,111084,15194,4.8438388566598094E-4,
27,111085,10124,4.9239010755548166E-8,
28,111086,2528,0.0,
29,111087,13852,1.2623592586484702E-4,
30,111088,3118,0.0,
31,111089,2844,4.015551703485265E-4,
32,111090,510,6.42069860757241E-5,
33,111091,212,0.014581163330269365,
34,111092,2946,0.00454630761427774,
35,111093,19956,1.953900907539122E-5,
36,111094,2485,8.960337508859135E-5,
37,111095,1794,1.747307568751294E-4,
38,111096,2707,6.283307472514842E-4,
39,111097,2700,2.606262240200797E-4,
40,111098,3449,6.092659735112277E-4,
41,111099,5594,2.842018929461846E-5,
42,112011,3093,0.0,
43,112012,21200,0.0,
44,112013,15552,0.0,
45,112014,34480,0.0,
46,112015,4666,0.0,
47,112016,11966,0.0,
48,112017,13480,0.0,
49,112018,14831,0.0,
50,112019,46077,2.3386847310012432E-4,
51,112020,1906,0.0,
52,112030,2337,0.0,
53,112041,4145,0.0,
54,112042,9610,0.0,
55,112043,1103,0.0,
56,112044,5576,0.0,
57,112045,2564,0.0,
58,112046,18320,0.0,
59,112047,22718,0.0,
60,112048,6256,0.0,
61,112049,17069,0.0,
62,112050,8062,0.0,
63,112060,9065,0.0,
64,112070,2276,0.0,
65,112111,39164,5.526808245900681E-6,
66,112112,4819,0.0,
67,112113,7180,0.0,
68,112114,4624,0.0017856591126207224,
69,112115,1326,0.0,
70,112116,4584,0.002987198241920666,
71,112117,2017,0.0,
72,112118,4443,0.0011004150516758001,
73,112119,6741,0.0,
74,112120,6306,0.0,
75,112130,3588,0.0,
76,112140,5675,0.0,
77,112150,567,0.0,
78,112160,4941,0.0,
79,112170,17030,0.0,
80,112180,5677,0.0,
81,112190,13172,0.0,
82,112200,33905,0.0,
83,112300,8315,0.0,
84,112400,30830,0.0,
85,112500,806,0.0,
86,112600,7692,0.0,
87,112700,9177,0.0,
88,112801,6769,0.0,
89,112802,7135,0.0,
90,112803,17267,0.0,
91,112804,9185,0.0,
92,112805,5556,0.0,
93,112806,6540,0.0,
94,112807,9643,0.0,
95,112808,3496,0.0,
96,112809,10746,0.0,
97,112901,27,0.0,
98,112902,3218,0.0,
99,112903,1169,0.0,
100,112904,2951,0.0,
101,112905,37,0.0,
102,112906,2413,0.0,
103,112907,779,0.0,
104,112908,5204,0.0,
105,112909,20422,1.2902061234403754E-4,
106,113000,4675,0.0,
107,114001,54761,0.0,
108,114002,2390,0.0,
109,114100,1656,0.0011988145423413637,
110,114210,16802,6.890044352661243E-5,
111,114221,2409,2.5582388061013177E-6,
112,114222,5839,0.0,
113,114223,174,0.0,
114,114224,77580,6.1552389728747465E-6,
115,114225,2250,0.0,
116,114226,17050,6.410348219487072E-5,
117,114227,24212,1.1789465633621397E-5,
118,114228,5771,0.0,
119,114229,9213,0.0,
120,114230,2510,0.0,
121,114240,9987,0.0,
122,114250,4469,0.0,
123,114260,6798,0.0,
124,114270,14977,7.521775441493352E-6,
125,114281,1050,8.657326003441152E-5,
126,114282,6319,0.0,
127,114283,60,0.0,
128,114284,14492,0.0,
129,114285,1297,0.0,
130,114286,6726,0.0,
131,114287,4228,0.0,
132,114288,2619,0.0,
133,114289,5390,0.0,
134,114290,26586,2.0171919971179395E-4,
135,114300,722,0.023128753949593926,
136,114410,3376,1.0187667459572832E-6,
137,114411,11647,0.0042659880183706055,
138,114412,3525,0.0,
139,114413,15127,1.2200536977692556E-4,
140,114414,3267,1.4769856989992158E-5,
141,114415,1,0.0012064671224814379,
142,114416,4264,0.0,
143,114417,542,9.742254947678912E-4,
144,114418,12522,3.734841199467179E-7,
145,114419,3385,0.0,
146,114420,17640,1.709818566090302E-7,
147,114430,12313,2.4324489859026542E-4,
148,114441,1660,3.603257969702549E-4,
149,114442,3796,8.291363050523859E-5,
150,114443,23070,8.202901111735221E-5,
151,114444,3586,0.0,
152,114445,6066,0.0,
153,114446,8489,0.0,
154,114447,2883,0.0,
155,114448,12265,0.0,
156,114449,8665,0.0,
157,114450,473,1.100768958589306E-4,
158,114460,29132,1.5280071463918501E-4,
159,114470,26976,4.027669711932182E-5,
160,114480,17674,4.699436697804016E-6,
161,114490,22455,4.374694645973323E-7,
162,114500,27914,0.001672015565831229,
163,114601,5823,0.0,
164,114602,10662,0.002529328753334141,
165,114603,506,3.703864623033645E-5,
166,114604,6933,0.0,
167,114605,4090,9.32703201848174E-6,
168,114606,5583,5.3713602380193075E-5,
169,114607,21267,2.1658601763414023E-5,
170,114608,3869,0.0,
171,114609,2978,0.0,
172,114701,4745,0.01521256350448198,
173,114702,5013,0.0014308124080596666,
174,114703,5019,0.006184934015839699,
175,114704,8359,1.9711794016636784E-5,
