system:index,PfafIDIrrWN_monthY2014M12,countIrrWN_monthY2014M12,meanIrrWN_monthY2014M12,.geo
0,111011,2536,2.681490174074522E-5,
1,111012,3921,0.0,
2,111013,1194,0.0,
3,111014,5605,0.0,
4,111015,21769,0.0,
5,111016,2382,0.0,
6,111017,11168,0.0,
7,111018,2509,0.0,
8,111019,8353,0.0,
9,111020,14779,0.0,
10,111030,6961,0.0,
11,111041,17205,0.0,
12,111042,6643,0.0,
13,111043,349,0.0,
14,111044,6597,0.0,
15,111045,7591,0.0,
16,111046,4623,0.0,
17,111047,903,0.0,
18,111048,4457,0.0,
19,111049,4490,0.0,
20,111050,20250,0.0,
21,111060,5660,2.879398067881847E-7,
22,111070,13788,1.3253701424987847E-4,
23,111081,5223,7.535047274400514E-4,
24,111082,18754,6.878734274858445E-9,
25,111083,6133,0.0,
26,111084,15194,1.0405057828381955E-4,
27,111085,10124,8.272683360734338E-9,
28,111086,2528,0.0,
29,111087,13852,2.9306829149217886E-5,
30,111088,3118,0.0,
31,111089,2844,9.058147539739901E-5,
32,111090,510,1.639297730344206E-5,
33,111091,212,0.004984731837621404,
34,111092,2946,0.001668902109283772,
35,111093,19956,6.282953443881793E-6,
36,111094,2485,2.028948180619517E-5,
37,111095,1794,6.766472743778305E-5,
38,111096,2707,2.0199127630396747E-4,
39,111097,2700,9.477707452445874E-5,
40,111098,3449,1.1825124750034519E-4,
41,111099,5594,7.256087640007692E-6,
42,112011,3093,0.0,
43,112012,21200,0.0,
44,112013,15552,0.0,
45,112014,34480,0.0,
46,112015,4666,0.0,
47,112016,11966,0.0,
48,112017,13480,0.0,
49,112018,14831,0.0,
50,112019,46077,1.0382054829710691E-4,
51,112020,1906,0.0,
52,112030,2337,0.0,
53,112041,4145,0.0,
54,112042,9610,0.0,
55,112043,1103,0.0,
56,112044,5576,0.0,
57,112045,2564,0.0,
58,112046,18320,0.0,
59,112047,22718,0.0,
60,112048,6256,0.0,
61,112049,17069,0.0,
62,112050,8062,0.0,
63,112060,9065,0.0,
64,112070,2276,0.0,
65,112111,39164,1.1515137007485423E-6,
66,112112,4819,0.0,
67,112113,7180,0.0,
68,112114,4624,7.45370258823988E-4,
69,112115,1326,0.0,
70,112116,4584,9.111619603451586E-4,
71,112117,2017,0.0,
72,112118,4443,3.243115251011177E-4,
73,112119,6741,0.0,
74,112120,6306,0.0,
75,112130,3588,0.0,
76,112140,5675,0.0,
77,112150,567,0.0,
78,112160,4941,0.0,
79,112170,17030,0.0,
80,112180,5677,0.0,
81,112190,13172,0.0,
82,112200,33905,0.0,
83,112300,8315,0.0,
84,112400,30830,0.0,
85,112500,806,0.0,
86,112600,7692,0.0,
87,112700,9177,0.0,
88,112801,6769,0.0,
89,112802,7135,0.0,
90,112803,17267,0.0,
91,112804,9185,0.0,
92,112805,5556,0.0,
93,112806,6540,0.0,
94,112807,9643,0.0,
95,112808,3496,0.0,
96,112809,10746,0.0,
97,112901,27,0.0,
98,112902,3218,0.0,
99,112903,1169,0.0,
100,112904,2951,0.0,
101,112905,37,0.0,
102,112906,2413,0.0,
103,112907,779,0.0,
104,112908,5204,0.0,
105,112909,20422,5.702373630698293E-5,
106,113000,4675,0.0,
107,114001,54761,0.0,
108,114002,2390,0.0,
109,114100,1656,7.262285226120949E-4,
110,114210,16802,3.5475965479946745E-5,
111,114221,2409,8.972826531160318E-7,
112,114222,5839,0.0,
113,114223,174,0.0,
114,114224,77580,5.594754265109272E-6,
115,114225,2250,0.0,
116,114226,17050,1.476527496195383E-5,
117,114227,24212,2.7161653843825215E-6,
118,114228,5771,0.0,
119,114229,9213,0.0,
120,114230,2510,0.0,
121,114240,9987,0.0,
122,114250,4469,0.0,
123,114260,6798,0.0,
124,114270,14977,3.4467899033021617E-6,
125,114281,1050,4.412923691389272E-5,
126,114282,6319,0.0,
127,114283,60,0.0,
128,114284,14492,0.0,
129,114285,1297,0.0,
130,114286,6726,0.0,
131,114287,4228,0.0,
132,114288,2619,0.0,
133,114289,5390,0.0,
134,114290,26586,1.0148799659090556E-4,
135,114300,722,0.013137461666242762,
136,114410,3376,3.574096127228533E-8,
137,114411,11647,0.0016384165039435878,
138,114412,3525,0.0,
139,114413,15127,1.0908752907524744E-5,
140,114414,3267,1.2079368728724908E-6,
141,114415,1,9.866961637754319E-5,
142,114416,4264,0.0,
143,114417,542,7.967604645771986E-5,
144,114418,12522,3.054502423251366E-8,
145,114419,3385,0.0,
146,114420,17640,1.7673268245559723E-8,
147,114430,12313,2.5142629851586127E-5,
148,114441,1660,2.479425277165563E-5,
149,114442,3796,1.6560826778984364E-5,
150,114443,23070,2.1555695614134066E-5,
151,114444,3586,0.0,
152,114445,6066,0.0,
153,114446,8489,0.0,
154,114447,2883,0.0,
155,114448,12265,0.0,
156,114449,8665,0.0,
157,114450,473,1.1377928058630414E-5,
158,114460,29132,3.4363524997828606E-5,
159,114470,26976,9.272544736556676E-6,
160,114480,17674,4.595186566421893E-7,
161,114490,22455,1.0285472022469602E-7,
162,114500,27914,7.403243604310006E-4,
163,114601,5823,0.0,
164,114602,10662,9.663946455095631E-4,
165,114603,506,1.5932793440984477E-5,
166,114604,6933,0.0,
167,114605,4090,3.306860301771712E-6,
168,114606,5583,1.4732073846495295E-5,
169,114607,21267,6.231519172194731E-6,
170,114608,3869,0.0,
171,114609,2978,0.0,
172,114701,4745,0.006297979252369792,
173,114702,5013,5.29679547017012E-4,
174,114703,5019,0.0023270661492689024,
175,114704,8359,5.8774126495474555E-6,
176,114705,9685,1.8969226006339133E-5,
177,114706,1442,0.0,
178,114707,446,0.0,
179,114708,1479,0.0,
180,114709,13,0.0,
181,114801,5712,2.0103791678161994E-6,
182,114802,3134,0.0,
183,114803,856,0.0,
184,114804,3306,5.891344620610188E-8,
185,114805,5341,0.0,
186,114806,4465,0.0,
187,114807,8853,3.938053662826279E-6,
188,114808,9325,9.187215714236774E-6,
189,114809,12520,6.743871795710158E-6,
190,114910,24602,5.218417289305726E-5,
191,114920,13186,4.874609885590849E-6,
192,114931,367,1.5429282495173094E-4,
193,114932,6668,3.9447625255269235E-5,
194,114933,3381,0.0,
195,114934,4835,0.0,
196,114935,10129,2.2150332237726747E-5,
197,114936,1413,0.0,
198,114937,2005,0.0,
199,114938,7122,0.0,
200,114939,3723,0.0,
201,114940,17917,2.1165272130184737E-6,
202,114950,8839,0.0,
203,114960,17499,3.154761311826225E-4,
204,114970,3830,0.0,
205,114980,12419,1.0057458873193023E-6,
206,114990,32085,1.3557803477486644E-4,
207,115101,71040,1.3804102198119972E-5,
208,115102,2813,2.3825042158117054E-5,
209,115103,1057,0.0,
210,115201,4944,7.733012494130429E-8,
211,115202,7332,3.167996670927506E-5,
212,115203,9279,2.271617894146674E-4,
213,115204,4711,0.0,
214,115205,18925,4.719355910373547E-6,
215,115206,1020,0.0,
216,115207,6669,5.7437303169329375E-5,
217,115208,4606,1.382681728701954E-7,
218,115209,6567,1.8057363286294737E-5,
219,115300,31550,6.113170418358515E-5,
220,115410,59,0.0,
221,115421,2746,0.0,
222,115422,5910,0.0,
223,115423,190,0.0,
224,115424,27002,2.8468606228519055E-4,
225,115425,317,0.0,
226,115426,4129,1.855407745551588E-6,
227,115427,2339,0.0,
228,115428,1980,0.0,
229,115429,11579,5.025367799489335E-5,
230,115430,18309,0.0,
231,115440,14238,0.0,
232,115451,34,0.0,
233,115452,3041,0.0,
234,115453,6141,2.0211118681911707E-5,
235,115454,5229,3.0136415203576342E-5,
236,115455,8528,9.379732998318327E-6,
237,115456,4944,0.0,
238,115457,740,0.0,
239,115458,4129,1.2330048797953663E-5,
240,115459,17083,6.838196241224374E-5,
241,115460,8270,5.629628559551112E-5,
242,115470,9268,6.360207090143328E-5,
243,115480,12405,0.0,
244,115490,6089,0.0,
245,115501,6,0.0,
246,115502,8893,0.0,
247,115503,750,0.0,
248,115504,2436,0.0,
249,115505,2096,0.0,
250,115506,7486,0.0,
251,115507,574,0.0,
252,115508,7481,0.0,
253,115509,7552,0.0,
254,115601,269,0.0,
255,115602,21806,6.742236218759168E-5,
256,115603,1991,2.151087109166681E-6,
257,115604,2276,2.598839166039388E-4,
258,115605,19149,2.539472349139677E-4,
259,115606,1710,2.7302474676870565E-4,
260,115607,4877,4.286368309607596E-5,
261,115608,12255,1.3508177472493945E-4,
262,115711,18,0.0,
263,115712,7528,6.093512216217163E-7,
264,115713,7,0.0,
265,115714,25076,4.64924875326592E-5,
266,115715,13882,2.5754894412377153E-4,
267,115716,6926,1.7320567750551022E-4,
268,115717,32235,3.305397474115909E-4,
269,115718,4428,2.0196878844792852E-4,
270,115719,27564,4.17487355245635E-4,
271,115720,175,0.0,
272,115730,15209,1.2278054361681074E-5,
273,115740,4470,0.0,
274,115750,4443,0.0,
275,115801,15355,4.548074011600058E-5,
276,115802,8564,1.2406555886037714E-5,
277,115803,22718,7.385872504103659E-6,
278,115804,1554,0.0,
279,115805,2794,0.0,
280,115806,5497,0.0,
281,115807,2697,0.0,
282,115808,8272,0.0,
283,115809,7022,0.0,
284,115900,20078,6.517920077859231E-7,
285,116001,3505,1.2717406274574496E-5,
286,116002,38883,1.8483979487885117E-5,
287,116003,3319,1.4541822384145808E-5,
288,116004,21261,3.3106258226605346E-5,
289,116005,3515,0.0,
290,116006,4365,0.0,
291,116007,6990,0.0,
292,116008,3767,0.0,
293,116009,7974,9.603090531013177E-6,
294,117000,10611,1.0687537986180996E-4,
295,117100,200,0.0,
296,117101,327,0.0,
297,117102,12545,9.942424999032971E-6,
298,117103,154,0.0,
299,117104,13065,0.0,
300,117105,9005,0.0,
301,117106,6687,3.286911451129509E-5,
302,117107,528,0.0,
303,117108,11426,9.680459749038746E-6,
304,117109,3709,0.0,
305,117201,2410,8.600155099196775E-6,
306,117202,9093,0.0,
307,117203,5632,5.0152816415989834E-6,
308,117204,15089,5.261206428506753E-6,
309,117205,7273,3.8096508373534115E-5,
310,117206,15598,9.615994486666011E-6,
311,117207,2233,0.0010855728173216211,
312,117208,6528,2.407499428165585E-4,
313,117209,47115,4.943855478535402E-4,
314,117300,3443,5.3728566957070245E-5,
315,117310,1731,0.0,
316,117320,9733,6.627981569242958E-5,
317,117321,35,0.0,
318,117322,3445,7.139210090673756E-6,
319,117323,4536,2.2475988761587543E-5,
320,117324,8445,1.454898519279978E-5,
321,117325,4901,3.7027309089584334E-5,
322,117326,10718,4.632084963442099E-6,
323,117327,860,8.46273312361298E-5,
324,117328,3379,3.058114953140425E-5,
325,117329,8495,8.654838923819784E-4,
326,117331,962,1.5163351112769395E-6,
327,117332,8998,1.0414729706039012E-5,
328,117333,1609,5.886827851856665E-6,
329,117334,4584,8.89942704790836E-7,
330,117335,130,1.3397994521733638E-5,
331,117336,5124,9.583568038718554E-6,
332,117337,3766,1.1103268764520635E-5,
333,117338,7822,7.618833893406993E-5,
334,117339,4481,1.9229166970955686E-5,
335,117340,3629,4.444081605611635E-6,
336,117341,3562,3.101397014718608E-5,
337,117342,1453,0.0014355692228903449,
338,117343,225,1.5937506926633354E-4,
339,117344,24075,4.410594075206731E-6,
340,117345,1996,2.817569334099358E-4,
341,117346,2560,0.0011854716120417743,
342,117347,7977,1.3449062490122443E-4,
343,117348,6817,7.28188479420495E-4,
344,117349,7746,0.0012725732062204172,
345,117350,9106,0.0,
346,117360,1417,0.0,
347,117361,8261,2.354999234581963E-5,
348,117362,4616,0.0,
349,117363,1954,2.2125276950276602E-4,
350,117364,3249,4.036679085829139E-5,
351,117365,5139,6.380340035014543E-4,
352,117366,3863,1.9659034746765416E-4,
353,117367,10234,1.235726398132014E-4,
354,117368,3636,0.0,
355,117369,8350,1.290220950540643E-5,
356,117370,289,2.050109125044413E-4,
357,117380,20668,2.1832519904262622E-4,
358,117390,8986,1.4206667372830902E-5,
359,117400,31535,1.867997637803097E-5,
360,117410,6659,3.7387627780506263E-7,
361,117420,9684,0.0,
362,117430,6244,0.0,
363,117441,7455,0.0,
364,117442,30064,1.7240893476530712E-7,
365,117443,1483,0.0,
366,117444,4685,1.610301434077183E-7,
367,117445,6049,9.210444570414335E-5,
368,117446,6873,4.3036762794278086E-5,
369,117447,7098,1.6967395587425223E-6,
370,117448,11424,2.357659406973367E-5,
371,117449,10133,2.0373454396427904E-5,
372,117450,23656,9.507073493900106E-5,
373,117460,32576,0.0,
374,117470,3648,0.0,
375,117480,6353,3.233661423686325E-4,
