system:index,PfafIDDomWN_monthY2014M03,countDomWN_monthY2014M03,meanDomWN_monthY2014M03,.geo
0,111011,2536,3.692447158946155E-4,
1,111012,3921,4.30468458138436E-6,
2,111013,1194,1.2560371185499865E-5,
3,111014,5605,2.4865205589313484E-6,
4,111015,21769,1.7305535751031125E-5,
5,111016,2382,2.3671654964507133E-7,
6,111017,11168,4.144306644185144E-6,
7,111018,2509,2.1942436255205005E-7,
8,111019,8353,1.643653436931276E-6,
9,111020,14779,7.561419605007702E-7,
10,111030,6961,7.575365353417453E-6,
11,111041,17205,3.0293088323563665E-6,
12,111042,6643,3.3005596361987096E-6,
13,111043,349,4.145752877305313E-6,
14,111044,6597,4.176230856271023E-6,
15,111045,7591,3.169463687697744E-6,
16,111046,4623,1.0176992931613152E-6,
17,111047,903,4.094114883955631E-6,
18,111048,4457,4.092467020595521E-6,
19,111049,4490,3.0193392605523935E-6,
20,111050,20250,4.3712682422746E-6,
21,111060,5660,2.2823785661691214E-5,
22,111070,13788,1.1293409971501347E-4,
23,111081,5223,7.144795913248483E-5,
24,111082,18754,1.8201998114521783E-5,
25,111083,6133,1.5079712000381524E-5,
26,111084,15194,2.104666345977212E-5,
27,111085,10124,4.85835734310139E-6,
28,111086,2528,1.7738457412859946E-6,
29,111087,13852,5.076563693055922E-6,
30,111088,3118,1.3215784913602614E-5,
31,111089,2844,1.601026290921794E-5,
32,111090,510,7.848577387083847E-6,
33,111091,212,8.54898102402976E-5,
34,111092,2946,1.1759195817688032E-4,
35,111093,19956,3.1416222006941157E-5,
36,111094,2485,7.631566247350013E-6,
37,111095,1794,4.823021877477332E-6,
38,111096,2707,1.9271106081800647E-5,
39,111097,2700,1.828057058901895E-5,
40,111098,3449,3.883161452378252E-5,
41,111099,5594,6.028142856607974E-6,
42,112011,3093,1.125383204571639E-6,
43,112012,21200,1.0748250262056103E-6,
44,112013,15552,1.2073134715585332E-6,
45,112014,34480,1.7726763741058895E-6,
46,112015,4666,8.768523195902907E-7,
47,112016,11966,5.056785832465301E-6,
48,112017,13480,3.208711230953326E-6,
49,112018,14831,5.394598527651954E-6,
50,112019,46077,7.318335177497763E-6,
51,112020,1906,3.2011046141459266E-6,
52,112030,2337,5.980673324169114E-7,
53,112041,4145,2.6754407198684835E-6,
54,112042,9610,1.6635266393652883E-6,
55,112043,1103,1.7171763090532803E-6,
56,112044,5576,1.5700817014133227E-6,
57,112045,2564,1.8430558078461873E-6,
58,112046,18320,3.779545915401578E-6,
59,112047,22718,3.711926916252451E-6,
60,112048,6256,6.298908796759613E-6,
61,112049,17069,1.0570093153943894E-5,
62,112050,8062,1.8945570407881708E-6,
63,112060,9065,2.1439852854898866E-6,
64,112070,2276,4.210094253473983E-6,
65,112111,39164,8.89794747169633E-6,
66,112112,4819,2.945584400454378E-6,
67,112113,7180,1.708227355307382E-6,
68,112114,4624,2.821499901948627E-6,
69,112115,1326,2.074240434098312E-6,
70,112116,4584,4.342146607618612E-6,
71,112117,2017,1.5554015773137332E-6,
72,112118,4443,1.750262107110159E-5,
73,112119,6741,2.954996635224542E-6,
74,112120,6306,4.427478118170311E-7,
75,112130,3588,3.517149556646918E-7,
76,112140,5675,8.189253009681022E-7,
77,112150,567,2.820591757984272E-7,
78,112160,4941,7.454360404089416E-7,
79,112170,17030,5.683173092184042E-7,
80,112180,5677,6.388569328341724E-7,
81,112190,13172,6.794452857358738E-7,
82,112200,33905,8.679400795420652E-7,
83,112300,8315,1.1988503735762439E-6,
84,112400,30830,1.4302601552995283E-6,
85,112500,806,1.3109299576885492E-6,
86,112600,7692,1.1629143297493306E-6,
87,112700,9177,1.0519422964871174E-6,
88,112801,6769,7.13616397494414E-7,
89,112802,7135,4.3616311052758513E-7,
90,112803,17267,2.7344964459020703E-7,
91,112804,9185,1.448300952753785E-6,
92,112805,5556,6.857492796792392E-7,
93,112806,6540,1.3431500523612466E-6,
94,112807,9643,6.840959764082471E-7,
95,112808,3496,1.3359419296811968E-6,
96,112809,10746,3.8018437283141768E-6,
97,112901,27,1.0078609846421707E-6,
98,112902,3218,8.147570193940532E-7,
99,112903,1169,7.432504324601105E-7,
100,112904,2951,1.0341546127636475E-6,
101,112905,37,1.4570895808152951E-6,
102,112906,2413,1.3200879240628658E-6,
103,112907,779,1.474745175851619E-6,
104,112908,5204,1.1186303007848455E-6,
105,112909,20422,8.948784704103787E-6,
106,113000,4675,0.0,
