BasinID,dwnBasinID,Area_km2,Shape_Leng,Shape_Area,AreaV01,area_r_m2
1,0,2085,0.00000000000,0.00000000000,2085000000.00000000000,2084999041.39000010000
2,0,2373,0.00000000000,0.00000000000,2373000000.00000000000,2373003933.92999980000
3,0,1509,0.00000000000,0.00000000000,1509000000.00000000000,1508998811.94000010000
4,0,4113,0.00000000000,0.00000000000,4113000000.00000000000,4113004766.51000020000
5,0,4454,0.00000000000,0.00000000000,4454000000.00000000000,4454003588.30000020000
6,0,2817,0.00000000000,0.00000000000,2816990000.00000000000,2816991302.34999990000
7,0,1284,0.00000000000,0.00000000000,1284000000.00000000000,1284004019.01000000000
8,0,1045,0.00000000000,0.00000000000,1045000000.00000000000,1045000911.63000000000
9,0,3071,0.00000000000,0.00000000000,3071000000.00000000000,3070997831.42999980000
10,0,2092,0.00000000000,0.00000000000,2092000000.00000000000,2092000196.10999990000
11,0,5444,0.00000000000,0.00000000000,5444000000.00000000000,5444001256.47000030000
12,0,1475,0.00000000000,0.00000000000,1475000000.00000000000,1474999899.97000000000
13,0,1530,0.00000000000,0.00000000000,1530000000.00000000000,1529999962.77000000000
14,0,11,0.00000000000,0.00000000000,11000000.00000000000,11000000.82780000000
15,0,4358,0.00000000000,0.00000000000,4358000000.00000000000,4358000301.06000040000
16,0,3751,0.00000000000,0.00000000000,3751000000.00000000000,3751000485.46000000000
17,0,15522,0.00000000000,0.00000000000,15522000000.00000000000,15522000482.79999900000
18,0,1059,0.00000000000,0.00000000000,1059000000.00000000000,1058998594.71000000000
19,0,1271,0.00000000000,0.00000000000,1271000000.00000000000,1270998870.69000010000
20,0,1204,0.00000000000,0.00000000000,1204000000.00000000000,1203997517.38000010000
21,0,3911,0.00000000000,0.00000000000,3911000000.00000000000,3911000098.04000000000
22,0,1168,0.00000000000,0.00000000000,1167990000.00000000000,1167993945.97000000000
23,0,1314,0.00000000000,0.00000000000,1314000000.00000000000,1313999523.32999990000
24,0,1649,0.00000000000,0.00000000000,1649000000.00000000000,1649000146.76000000000
25,0,16655,0.00000000000,0.00000000000,16655000000.00000000000,16654998826.00000000000
26,0,1847,0.00000000000,0.00000000000,1847000000.00000000000,1846997744.88000010000
27,0,1676,0.00000000000,0.00000000000,1676000000.00000000000,1676000572.63000010000
28,0,76906,0.00000000000,0.00000000000,76906000000.00000000000,76905983670.89999400000
29,0,1045,0.00000000000,0.00000000000,1045000000.00000000000,1044999162.76000000000
30,0,18922,0.00000000000,0.00000000000,18922000000.00000000000,18922005983.90000200000
31,0,2001,0.00000000000,0.00000000000,2001000000.00000000000,2000999476.72000000000
32,0,1079,0.00000000000,0.00000000000,1079000000.00000000000,1079000741.03000000000
33,0,11654,0.00000000000,0.00000000000,11654000000.00000000000,11654000045.20000100000
34,0,1385,0.00000000000,0.00000000000,1385000000.00000000000,1385000324.35999990000
35,0,2293,0.00000000000,0.00000000000,2293000000.00000000000,2292999917.94999980000
36,0,1708,0.00000000000,0.00000000000,1708000000.00000000000,1708001249.15000010000
37,0,4417,0.00000000000,0.00000000000,4417000000.00000000000,4416998986.10999970000
38,0,1119,0.00000000000,0.00000000000,1118990000.00000000000,1118993302.16000010000
39,0,2127,0.00000000000,0.00000000000,2127000000.00000000000,2126999683.47000000000
40,0,1209,0.00000000000,0.00000000000,1209000000.00000000000,1208999389.03000000000
41,0,2535,0.00000000000,0.00000000000,2535000000.00000000000,2534998388.44999980000
42,0,1773,0.00000000000,0.00000000000,1773000000.00000000000,1772999373.18000010000
43,0,9400,0.00000000000,0.00000000000,9400000000.00000000000,9399995422.54000090000
44,0,4785,0.00000000000,0.00000000000,4784990000.00000000000,4784991156.22999950000
45,0,1086,0.00000000000,0.00000000000,1086000000.00000000000,1086000128.57999990000
46,0,1896,0.00000000000,0.00000000000,1896000000.00000000000,1895999038.14000010000
47,0,2310,0.00000000000,0.00000000000,2310000000.00000000000,2309998205.79000000000
48,0,3001,0.00000000000,0.00000000000,3001000000.00000000000,3001000286.34000020000
49,0,2808,0.00000000000,0.00000000000,2808000000.00000000000,2807999360.54000000000
50,0,1288,0.00000000000,0.00000000000,1288000000.00000000000,1288000584.42000010000
51,0,1919,0.00000000000,0.00000000000,1919000000.00000000000,1918998869.33999990000
52,0,1251,0.00000000000,0.00000000000,1251000000.00000000000,1251000207.65000010000
53,0,3006,0.00000000000,0.00000000000,3006000000.00000000000,3005999176.84000020000
54,0,1793,0.00000000000,0.00000000000,1793000000.00000000000,1792999938.97000000000
55,0,11814,0.00000000000,0.00000000000,11814000000.00000000000,11814001139.29999900000
56,0,1691,0.00000000000,0.00000000000,1691000000.00000000000,1691001227.24000000000
57,0,2053,0.00000000000,0.00000000000,2053000000.00000000000,2052999345.53000000000
58,0,27164,0.00000000000,0.00000000000,27164000000.00000000000,27163998217.40000200000
59,0,42973,0.00000000000,0.00000000000,42973000000.00000000000,42972999909.69999700000
60,0,1276,0.00000000000,0.00000000000,1276000000.00000000000,1275998845.04000000000
61,0,1401,0.00000000000,0.00000000000,1401000000.00000000000,1400999703.05999990000
62,0,1489,0.00000000000,0.00000000000,1489000000.00000000000,1489000837.02000000000
63,0,4795,0.00000000000,0.00000000000,4795000000.00000000000,4795000091.60000040000
64,0,16532,0.00000000000,0.00000000000,16532000000.00000000000,16532000058.00000000000
65,0,1721,0.00000000000,0.00000000000,1721000000.00000000000,1721000203.82999990000
66,0,3783,0.00000000000,0.00000000000,3783000000.00000000000,3783001217.78000020000
67,0,2736,0.00000000000,0.00000000000,2736000000.00000000000,2735999190.11000010000
