system:index,PfafIDarea30sm2,countarea30sm2,meanarea30sm2,.geo
188,114808,9325,845499.5095107239,
189,114809,12520,845600.874635583,
190,114910,24602,850769.8852202056,
191,114920,13186,848766.617947065,
192,114931,367,850323.8922002725,
193,114932,6668,850657.7180657618,
194,114933,3381,850037.8303201715,
195,114934,4835,848743.5264994829,
196,114935,10129,849595.8094456511,
197,114936,1413,849403.0166755131,
198,114937,2005,849085.9210411471,
199,114938,7122,848426.5667386268,
200,114939,3723,848453.766317486,
201,114940,17917,846629.732841017,
202,114950,8839,847677.6555040163,
203,114960,17499,845345.07317561,
204,114970,3830,847107.9014686684,
205,114980,12419,845027.9740417908,
206,114990,32085,847032.2689107059,
207,115101,71040,852282.3055699253,
208,115102,2813,852839.6509953786,
209,115103,1057,852104.0830179754,
210,115201,4944,852070.237762945,
211,115202,7332,852464.9066591653,
212,115203,9279,853094.9761491001,
213,115204,4711,853665.9722060072,
214,115205,18925,854323.606321004,
215,115206,1020,853578.7638480392,
216,115207,6669,853664.7578909881,
217,115208,4606,854329.4304032783,
218,115209,6567,854471.2829393178,
219,115300,31550,854638.5120919176,
220,115410,59,853354.1101694915,
221,115421,2746,853410.4482428988,
222,115422,5910,853831.6603955161,
223,115423,190,853548.4638157894,
224,115424,27002,854085.87785627,
225,115425,317,853637.6374211357,
226,115426,4129,853827.0208888351,
227,115427,2339,853897.8418394614,
228,115428,1980,854114.5411931818,
229,115429,11579,854489.6200449088,
230,115430,18309,852868.6261776995,
231,115440,14238,851451.042518261,
232,115451,34,852355.3823529412,
233,115452,3041,851756.7345856626,
234,115453,6141,851447.5507653477,
235,115454,5229,850356.9753657487,
236,115455,8528,850392.2636975258,
237,115456,4944,848794.542298746,
238,115457,740,849627.8679054054,
239,115458,4129,848600.3361134657,
240,115459,17083,849059.3788122695,
241,115460,8270,847828.7700120918,
242,115470,9268,846821.8527797259,
243,115480,12405,845431.9684905281,
244,115490,6089,847195.9137276235,
245,115501,6,851644.5520833334,
246,115502,8893,852209.421623749,
247,115503,750,851524.5053333333,
248,115504,2436,851159.2523860837,
249,115505,2096,852021.0263000954,
250,115506,7486,852745.416327144,
251,115507,574,852219.418227352,
252,115508,7481,852607.3550160406,
253,115509,7552,853283.0914079052,
254,115601,269,852769.5885223048,
255,115602,21806,851249.4463565074,
256,115603,1991,850942.424849322,
257,115604,2276,850540.8870551406,
258,115605,19149,849284.0988563371,
259,115606,1710,848524.1416666667,
260,115607,4877,847687.5143402707,
261,115608,12255,847034.332869237,
262,115711,18,839006.1944444445,
263,115712,7528,840047.320387221,
264,115713,7,839093.5446428572,
265,115714,25076,841892.7059962713,
266,115715,13882,837697.9718880565,
267,115716,6926,838155.9225292377,
268,115717,32235,841128.3967097099,
269,115718,4428,844274.728023374,
270,115719,27564,845227.4340942897,
271,115720,175,846299.1171428572,
272,115730,15209,842813.8013840489,
273,115740,4470,840065.5503775168,
274,115750,4443,836272.4053426739,
275,115801,15355,835189.2695009769,
276,115802,8564,832927.7730032695,
277,115803,22718,829661.2540303944,
278,115804,1554,827314.847007722,
279,115805,2794,835383.9239665355,
280,115806,5497,834512.3910314717,
281,115807,2697,834794.8310622914,
282,115808,8272,833338.0896926378,
283,115809,7022,830951.111026061,
284,115900,20078,837071.6638204751,
285,116001,3505,846274.6797610556,
286,116002,38883,845744.3382728313,
287,116003,3319,847274.121535101,
288,116004,21261,848446.068682094,
289,116005,3515,847945.8424608819,
290,116006,4365,848820.9713201603,
291,116007,6990,848142.255239628,
292,116008,3767,847868.3169133263,
293,116009,7974,848634.4657558942,
294,117000,10611,824787.576653944,
295,117100,200,854749.018125,
296,117101,327,854745.3761467889,
297,117102,12545,854776.4510661619,
298,117103,165,854685.5465909091,
299,117104,13065,854754.2252583237,
300,117105,9006,854577.6308225072,
301,117106,6687,854572.8372588605,
302,117107,528,854277.0756392046,
303,117108,11426,854590.4788421144,
304,117109,3709,854209.3292666487,
305,117201,2410,854139.6076504149,
306,117202,9093,853885.7269396789,
307,117203,5632,854118.2280273438,
308,117204,15089,854294.632567599,
309,117205,7273,854396.0087223292,
310,117206,15598,854549.0373765867,
311,117207,2233,854585.1598746082,
312,117208,6528,854674.4340628829,
313,117209,47115,854756.5328544519,
314,117300,3443,850592.4052788266,
315,117310,1731,853831.1583622184,
316,117320,9733,853843.3499627556,
317,117321,35,853544.0589285714,
318,117322,3445,853716.5941219159,
319,117323,4536,853557.4452022708,
320,117324,8445,853661.0874037893,
321,117325,4901,853958.9179631708,
322,117326,10718,854206.5470295298,
323,117327,860,854309.508502907,
324,117328,3379,854465.8453869488,
325,117329,8495,854557.9529870512,
326,117331,962,853355.4777156964,
327,117332,8998,853302.7722966215,
328,117333,1609,852929.577959913,
329,117334,4584,852927.6585133071,
330,117335,130,852624.4110576923,
331,117336,5124,852886.3037056011,
332,117337,3766,852388.9773466543,
333,117338,7822,852390.7238478011,
334,117339,4481,851637.4561760768,
335,117340,3629,852843.2582322954,
336,117341,3562,851160.5287935148,
337,117342,1453,851777.9637388162,
338,117343,225,851447.3769444445,
339,117344,24075,851752.6706334372,
340,117345,1996,851842.9118862726,
341,117346,2560,852503.2330322266,
342,117347,7977,852512.8999310518,
343,117348,6817,853206.9120855948,
344,117349,7746,853227.3839481667,
345,117350,9106,850669.2847367121,
346,117360,1417,850815.0214802399,
347,117361,8261,850102.6547179518,
348,117362,4616,850557.0787884532,
349,117363,1954,849715.4675665302,
350,117364,3249,850108.2014273623,
351,117365,5139,849274.0977695077,
352,117366,3863,848379.5330216154,
353,117367,10234,849543.2113237737,
354,117368,3636,850191.5638407591,
355,117369,8350,850892.8895583833,
356,117370,289,849724.740484429,
357,117380,20668,848628.107336825,
358,117390,9129,848285.5231610801,
359,117400,31535,850949.1185468527,
360,117410,6659,846978.3467018321,
361,117420,9684,845922.8359794506,
362,117430,6244,847374.0169362588,
363,117441,7455,845939.4505533199,
364,117442,30064,842615.7384330096,
365,117443,1483,845195.4343391773,
366,117444,4685,844841.9633271078,
367,117445,6049,846487.7119358572,
368,117446,6873,846004.6926378583,
369,117447,7098,845017.0628522119,
370,117448,11424,844810.5828956582,
371,117449,10133,843434.0016036711,
372,117450,23656,847947.1495630073,
373,117460,32576,848957.6513000368,
374,117470,3648,848070.8857079222,
375,117480,6353,846732.8904356209,
376,117490,34383,846022.864842364,
377,117501,4142,846234.3075657894,
378,117502,19773,844140.3187869822,
379,117503,169,844946.7910502958,
380,117504,4886,844056.2611159435,
381,117505,1916,843970.4610842902,
382,117506,20274,842249.0815329979,
383,117507,1796,842607.2674693764,
384,117508,7144,841347.447193449,
385,117509,6695,841015.9927744586,
386,117610,21194,839304.1577126781,
387,117621,20963,835769.0819062158,
388,117622,7510,833045.6690745673,
389,117623,6148,834897.0655904359,
390,117624,5529,834394.7552902875,
391,117625,3107,833139.7755672674,
392,117626,5092,833049.3033189316,
393,117627,2338,831778.9326079983,
394,117628,4803,831666.6538231313,
395,117629,17441,829519.5005016914,
396,117630,7944,839317.7910293932,
397,117640,12237,840175.734764444,
398,117650,27139,837515.4076858949,
399,117660,11080,834802.6348375451,
400,117670,16159,838856.47024491,
401,117680,7373,839386.9428234776,
402,117690,8974,836147.5372673835,
403,117701,4246,839721.9277113754,
404,117702,3062,838861.6982976813,
405,117703,3099,838101.7380001614,
406,117704,29472,834947.5918477707,
407,117705,3727,836096.7023577945,
408,117706,12305,834036.3087515237,
409,117707,5022,833482.5079151732,
410,117708,6600,832699.0063162879,
411,117709,6,831794.78125,
412,117801,19386,830712.1041827865,
413,117802,8138,827579.8110331162,
414,117803,4481,830495.3777895559,
415,117804,4823,830766.9895811735,
416,117805,9139,829215.1104675019,
417,117806,4243,829757.76639465,
418,117807,14182,827472.6594626992,
419,117808,4009,825571.4579383886,
420,117809,5404,826978.7140081421,
421,117911,4254,830397.2181770098,
422,117912,11369,828581.2377297916,
423,117913,4828,827734.005113401,
424,117914,9748,826888.1211145876,
425,117915,2918,825266.3347326936,
426,117916,4522,824984.8393133569,
427,117917,881,823510.1484818389,
428,117918,3489,824048.9540341072,
429,117919,3366,822187.2888443256,
430,117920,12385,824222.9051019378,
431,117930,3842,820611.4951847995,
432,117940,17976,823758.8468687417,
433,117950,35051,820087.1241441043,
434,117960,27987,821739.513745221,
435,117970,4764,816386.694649979,
436,117980,23322,816779.1326724766,
437,117990,502,813685.763944223,
438,121000,5421,812656.4787400848,
439,122100,13683,813825.8851266169,
440,122211,6406,817579.2113350765,
441,122212,1855,819674.4712938005,
442,122213,3138,820234.1932958891,
443,122214,5851,822222.944528713,
444,122215,3894,821104.750337057,
445,122216,2115,822914.2133274232,
446,122217,20739,826560.3727096292,
447,122218,7387,828986.2778445241,
448,122219,381,830765.8207020997,
449,122220,10173,829752.6373918706,
450,122230,15251,832469.1269588879,
451,122240,13981,832088.3666404407,
452,122250,4175,834822.0709580838,
453,122260,9898,834330.6604048797,
454,122270,25323,837601.7906621451,
455,122281,58,840221.6745689656,
456,122282,18679,841681.5163017293,
457,122283,8866,841495.3343038011,
458,122284,3054,841731.4644523576,
459,122285,1410,843195.788785461,
460,122286,2459,842393.2681222041,
461,122287,2283,843428.7113720981,
462,122288,5474,843817.2526488856,
463,122289,4972,843387.7651347546,
464,122290,14591,838401.8154812899,
465,122310,31891,818207.7018143834,
466,122321,1222,820707.4892082651,
467,122322,23462,815910.348941906,
468,122323,1012,820818.536993577,
469,122324,26869,817202.1069308497,
470,122325,566,820587.2503312721,
471,122326,979,821758.3884703779,
472,122327,743,820434.7495794079,
473,122328,2014,821747.8439361966,
474,122329,9878,819962.4204355639,
475,122330,1421,821524.5603888107,
476,122340,19786,825536.9509185788,
477,122350,11368,823511.3322594124,
478,122360,35190,827761.0834754192,
479,122371,6512,824241.9215390817,
480,122372,2747,822526.98097925,
481,122373,5796,824454.9738397171,
482,122374,6294,826359.1145336828,
483,122375,2608,824143.2609279141,
484,122376,11494,821323.3452290326,
485,122377,3260,824013.4114647239,
486,122378,2622,825520.5194031274,
487,122379,170,824239.4948529411,
488,122380,30585,818701.6894270068,
489,122390,928,824252.084994612,
490,122410,9362,825854.6960051272,
491,122421,1196,827512.6818561873,
492,122422,18009,830816.7988123994,
493,122423,7491,826950.556509478,
494,122424,10799,827974.9130590796,
495,122425,914,827559.3958561269,
496,122426,4254,829744.9517072168,
497,122427,5533,829757.8334651184,
498,122428,2222,831124.7125618812,
499,122429,3051,831743.6682440183,
500,122430,27772,830321.4737190335,
501,122440,12555,831404.3566208682,
502,122450,18864,834082.6890141275,
503,122460,7469,836347.4499765699,
504,122470,3244,835923.3837469174,
505,122480,5516,835586.1507432923,
506,122491,6706,837223.9090460036,
507,122492,3053,838548.8489600393,
508,122493,1532,838490.8621491514,
509,122494,2788,837041.5919117647,
510,122495,5977,838522.6592249456,
511,122496,5303,840342.9175231002,
512,122497,1273,839602.9299391202,
513,122498,3034,839860.9262936717,
514,122499,10962,841442.1930418719,
515,122500,23063,823747.5138506482,
516,122611,9237,823340.4436978997,
517,122612,5371,825722.201440607,
518,122613,192,823921.171875,
519,122614,4748,825250.4268771062,
520,122615,4622,822365.5873810039,
521,122616,10095,821243.5178863299,
522,122617,15119,824550.4658046167,
523,122618,8593,820953.8094451879,
524,122619,19409,825203.6793755475,
525,122620,12619,830107.0908946826,
526,122630,2524,827265.934602813,
527,122640,29501,833302.7549023762,
528,122650,5639,828610.6526312289,
529,122660,16242,828855.5355982946,
530,122670,3328,829646.7258112981,
531,122680,11281,832741.1216979878,
532,122690,29803,833669.789201171,
533,122710,5407,821547.1922045497,
534,122722,5618,819834.3345719117,
535,122723,11478,817493.156413356,
536,122724,14659,813974.6236996043,
537,122725,8871,813401.3910917597,
538,122726,3932,811957.3904342573,
539,122727,1890,810753.1535714286,
540,122728,7726,810448.0628882992,
541,122729,8395,808776.5114353782,
542,122730,4711,820577.5796938017,
543,122740,8391,815755.7230961744,
544,122750,4912,819494.181417956,
545,122760,12525,814166.0993762475,
546,122770,24193,816138.7800810152,
547,122781,503,813426.9419731611,
548,122782,2807,811258.8186676167,
549,122783,2653,811918.2724745572,
550,122784,25385,806880.6640732716,
551,122785,1998,811966.7473098098,
552,122786,1849,811446.9882368848,
553,122787,5021,810548.3779376618,
554,122788,7791,807589.1053699782,
555,122789,5635,809416.5914263532,
556,122790,26804,814614.0587855357,
557,122810,16351,814233.4332953641,
558,122820,26020,813110.7826887971,
559,122830,15823,815794.3466156861,
560,122841,427,816868.7849824356,
561,122842,3197,816524.5546019706,
562,122843,2941,817473.4344398164,
563,122844,5885,817311.6187128292,
564,122845,151,817917.6920529802,
565,122846,18775,819100.0261651132,
566,122847,2010,819755.4932524876,
567,122848,6351,821121.546803653,
568,122849,6829,822120.805882999,
569,122851,10,816833.05625,
570,122852,5277,818922.2145987303,
571,122853,162,817180.4320987654,
572,122854,5104,819657.052054761,
573,122855,11928,820180.2797357059,
574,122856,6580,823032.0697663374,
575,122857,2106,823534.225308642,
576,122858,6842,824292.9241632563,
577,122859,830,824354.2658885542,
578,122860,9486,825334.6578378663,
579,122870,11735,827820.0546655304,
580,122880,12156,828982.8061965285,
581,122890,11676,830535.0194308838,
582,122911,7164,816753.9639953239,
583,122912,18732,819137.1041966955,
584,122913,17705,819202.9785724372,
585,122914,9276,822369.9409901898,
586,122915,11505,821326.107398957,
587,122916,10313,823626.5583002036,
588,122917,400,822404.82875,
589,122918,13061,824374.6893231758,
590,122919,11179,824988.0520842652,
591,122921,609,825968.4090722495,
592,122922,9754,828858.329089348,
593,122923,614,826108.7901058632,
594,122924,15537,826553.2012534594,
595,122925,2123,827875.771314178,
596,122926,5763,828679.9835806004,
597,122927,501,829009.7602295409,
598,122928,6274,829891.6817221869,
599,122929,9474,831033.3264130779,
600,122930,30101,826818.4318087439,
601,122941,75,829002.5491666667,
602,122942,6053,831377.8315917727,
603,122943,2293,830786.6873364588,
604,122944,6592,831450.445009102,
605,122945,2501,831714.0486555378,
606,122946,7806,832773.5217140662,
607,122947,17374,834192.0720796881,
608,122948,3721,836075.8383163129,
609,122949,9816,834651.3541411981,
610,122950,306,829164.3306781045,
611,122961,3054,830784.6527300262,
612,122962,3634,831513.5428419097,
613,122963,1190,829806.4206932773,
614,122964,25207,830631.5812943825,
615,122965,3358,831705.1377494044,
616,122966,6034,834323.5026930725,
617,122967,2557,833049.2878617521,
618,122968,27002,835337.642114473,
619,122969,14397,836752.7697567202,
620,122970,33383,833621.673076491,
621,122981,643,835323.8916213064,
622,122982,22493,837527.4376528254,
623,122983,1336,836105.4058757485,
624,122984,2966,835808.7964851653,
625,122985,6665,837363.3971305327,
626,122986,4664,837190.2093830403,
627,122987,4784,838308.3374921613,
628,122988,2411,838864.2591766901,
629,122989,3747,838870.7299005871,
630,122990,28675,836237.5243788143,
631,123010,21695,809882.6157928094,
632,123021,399,806394.4301378446,
633,123022,5200,807851.9861538461,
634,123023,1477,807864.5843348003,
635,123024,11268,811862.0889964945,
636,123025,1247,809204.8295408982,
637,123026,4294,812609.4985008151,
638,123027,6707,810776.7557123154,
639,123028,4012,811728.7114126371,
640,123029,3533,813969.3465008491,
641,123030,1242,805788.7544283414,
642,123040,35384,804866.884831421,
643,123050,20914,800978.5019036292,
644,123061,22208,797319.5729607574,
645,123062,53679,807183.1936592988,
646,123063,11792,798966.4729318606,
647,123064,10011,803163.5742995206,
648,123065,955,798042.9229057592,
649,123066,9836,804383.8809348312,
650,123067,5567,799769.9973841386,
651,123068,5624,803403.5297719594,
652,123069,7650,804484.6462418301,
653,123070,30939,790766.2724918388,
654,123080,25327,784146.7285974454,
655,123090,4049,777754.1456995554,
656,124100,3418,776851.8668812171,
657,124200,6405,792360.0573380172,
658,124201,20935,782778.4142285646,
659,124202,8961,786996.977416025,
660,124203,10671,788072.724762206,
661,124204,6190,793835.8322092084,
662,124205,3410,790502.8754765396,
663,124206,8813,794341.801153126,
664,124207,4841,789593.944445879,
665,124208,6792,791972.5809316107,
666,124209,4608,793684.8068847656,
667,124300,3108,779659.208011583,
668,124401,3387,783522.1584182167,
669,124402,11632,787322.3012057256,
670,124403,1947,783000.3115048793,
671,124404,17489,785098.6592643948,
672,124405,15787,780835.721265915,
673,124406,9181,776058.3222211633,
674,124407,15634,779784.3860536331,
675,124408,7792,775718.9045174537,
676,124409,21469,771519.0434172528,
677,124501,7251,786895.3397031444,
678,124502,18742,797115.5320403372,
679,124503,9817,790208.0702544056,
680,124504,10116,795931.8247392745,
681,124505,8244,791265.3247589156,
682,124506,17495,787170.0333452414,
683,124507,1655,793057.0774924471,
684,124508,19929,799290.1930227306,
685,124509,3805,793183.1831143233,
686,124600,36293,798760.744571956,
687,124700,3227,792503.0755151844,
688,124800,24464,794562.1922058944,
689,124910,814,791910.6574785012,
690,124920,20398,784594.9872413962,
691,124931,4528,791101.1107276944,
692,124932,12529,791360.4734815229,
693,124933,6339,789069.1014059789,
694,124934,6158,784407.660015427,
695,124935,455,787693.392445055,
696,124936,10652,782375.4486657436,
697,124937,5088,787142.576614092,
698,124938,2932,788094.7020165416,
699,124939,1244,785247.278034566,
700,124940,14766,786298.1232603616,
701,124950,5280,782412.1012784091,
702,124960,22318,779778.5439667533,
703,124970,1182,782633.6042195432,
704,124980,17130,776089.1594206071,
705,124990,38051,774697.7715138893,
706,125100,1001,774613.638986014,
707,125201,4222,774572.6418758882,
708,125202,5277,779376.3683674437,
709,125203,1353,777436.9479859571,
710,125204,4991,779350.0424764577,
711,125205,5767,776978.955728715,
712,125206,9043,776777.9376727856,
713,125207,1457,773511.8046499657,
714,125208,13520,773728.0701830621,
715,125209,14535,770759.9710569315,
716,125300,13431,769517.0740637331,
717,125401,1099,766270.615843949,
718,125402,946,765807.9569899577,
719,125403,174,764663.4849137932,
720,125404,15472,761664.5349987074,
721,125405,1666,765291.6675795318,
722,125406,1092,764094.625400641,
723,125407,2852,766025.9498597475,
724,125408,11142,766729.143382023,
725,125409,5118,763587.6014922821,
726,125510,39354,757113.1415040402,
727,125520,38719,753455.436546011,
728,125531,5811,747801.3014003613,
729,125532,5982,746207.4066261284,
730,125533,12861,742891.731110528,
731,125534,9070,741282.5785763506,
732,125535,8126,734967.762759968,
733,125536,26970,737048.4864131443,
734,125537,7597,729858.563339147,
735,125538,8345,729771.7942031156,
736,125539,3625,725115.4725172414,
737,125540,28185,727605.7122760334,
738,125550,11094,720443.9780511989,
739,125561,4720,720116.3007944915,
740,125562,4613,722081.5629200087,
741,125563,2050,719074.4866768293,
742,125564,3862,721843.4096970481,
743,125565,4192,722944.7560979247,
744,125566,6509,727965.9531898141,
745,125567,5771,727271.855332698,
746,125568,6092,731802.8862237361,
747,125569,3866,730849.0546107087,
748,125570,7536,716169.9874684846,
749,125580,29518,721989.5187576225,
750,125590,3733,713341.3364251272,
751,125601,1659,713225.2035111513,
752,125602,5655,714098.475132626,
753,125603,8435,717227.7288455839,
754,125604,1875,720212.4818666667,
755,125605,2118,718062.685463881,
756,125606,14253,724896.542749772,
757,125607,8709,724592.1708792628,
758,125608,1909,730054.0172210581,
759,125609,3590,728607.072667131,
760,125700,10346,711885.1043398415,
761,125801,2344,710753.4945072526,
762,125802,18548,716478.5753282025,
763,125803,879,713242.4946672355,
764,125804,25626,721447.0865771092,
765,125805,3630,714885.4550964187,
766,125806,2569,714005.0861473336,
767,125807,3379,715977.7022602841,
768,125808,1554,715739.3066682754,
769,125809,4237,718231.1473772717,
770,125900,21988,712132.42063853,
771,126000,14216,741485.548035664,
772,126010,17700,711048.399470339,
773,126020,10837,718134.0269447264,
774,126030,7258,725092.2329929044,
775,126041,933,731366.9394426581,
776,126042,23196,735660.8285561088,
777,126043,13881,727982.4154194583,
778,126044,5354,728265.9284997198,
779,126045,1345,725396.8633364312,
780,126046,8867,723299.7082510996,
781,126047,494,724330.0946356276,
782,126048,4234,721160.5894396552,
783,126049,5274,719547.4187760713,
784,126050,3970,733995.9393734257,
785,126060,6410,737947.5092043682,
786,126070,6757,740869.4124334024,
787,126080,13661,744354.7291605666,
788,126090,7868,749889.6019159888,
789,127100,6765,755882.1144678493,
790,127200,5107,770232.3368171138,
791,127201,317,756633.7726735016,
792,127202,23935,765406.4273031126,
793,127203,8339,760189.5496462405,
794,127204,13276,764879.438323855,
795,127205,18852,770046.868439025,
796,127206,6514,772274.4250460546,
797,127207,624,772487.7154447115,
798,127208,15023,776712.0477642615,
799,127209,20663,781164.7114588879,
800,127300,12402,761064.6428449041,
801,127301,1398,755032.4430436337,
802,127302,6859,757443.8710362298,
803,127303,12588,752812.466798737,
804,127304,16009,746389.3931070024,
805,127305,2474,751056.6323261925,
806,127306,8525,755651.4800953079,
807,127307,17408,752363.6286154354,
808,127308,6088,758344.2319522011,
809,127309,7623,753970.0618850846,
810,127400,33840,769875.296219341,
811,127410,26930,758774.7419188637,
812,127420,7055,758438.7021704465,
813,127421,3722,763266.0242980925,
814,127422,1590,760065.5099056604,
815,127423,2244,762348.7028186275,
816,127424,1519,762078.6500164582,
817,127425,3927,764381.3654984721,
818,127426,21125,760788.5406804733,
819,127427,1042,766230.111084453,
820,127428,5069,766093.1041748866,
821,127429,5224,763944.4582336332,
822,127430,44,764321.2457386364,
823,127441,12070,766352.2924658244,
824,127442,14759,774475.6565485466,
825,127443,10391,769295.1673984699,
826,127444,7778,769500.4705178066,
827,127445,6291,773415.1174594659,
828,127446,64917,779271.981923071,
