system:index,PfafIDLivWN_monthY2014M11,countLivWN_monthY2014M11,meanLivWN_monthY2014M11,.geo
0,111011,2536,1.236450427142131E-7,
1,111012,3921,6.004981429147855E-7,
2,111013,1194,4.64156814625141E-8,
3,111014,5605,1.9202772756505925E-7,
4,111015,21769,2.444814022566518E-8,
5,111016,2382,1.016086128670005E-8,
6,111017,11168,3.040009354308184E-8,
7,111018,2509,8.65183292748231E-9,
8,111019,8353,3.763564873310047E-9,
9,111020,14779,2.8324384331706247E-9,
10,111030,6961,7.694599281430263E-12,
11,111041,17205,1.3669511255986887E-8,
12,111042,6643,8.181054457942005E-9,
13,111043,349,4.3093224771627734E-9,
14,111044,6597,1.262192044835687E-8,
15,111045,7591,1.6786773538074882E-9,
16,111046,4623,6.438874692061476E-10,
17,111047,903,1.8720875900955585E-9,
18,111048,4457,6.454184639562256E-9,
19,111049,4490,1.698202407469924E-8,
20,111050,20250,1.2425579470217273E-8,
21,111060,5660,2.265928954876753E-8,
22,111070,13788,3.3940242528638596E-7,
23,111081,5223,1.5760280102166945E-6,
24,111082,18754,2.2708695356123992E-7,
25,111083,6133,5.452584762319021E-8,
26,111084,15194,4.686820122308365E-7,
27,111085,10124,5.6589745233159015E-8,
28,111086,2528,3.540663371243161E-7,
29,111087,13852,5.442562497743638E-7,
30,111088,3118,9.258603250507018E-7,
31,111089,2844,1.0726887081332862E-6,
32,111090,510,3.3967026133688376E-6,
33,111091,212,5.456305872779669E-6,
34,111092,2946,5.290878310754783E-6,
35,111093,19956,1.6020427678813315E-7,
36,111094,2485,2.878015184198124E-7,
37,111095,1794,3.7041838399595313E-8,
38,111096,2707,4.4249611947106086E-7,
39,111097,2700,2.553643751564632E-7,
40,111098,3449,6.047667680952375E-7,
41,111099,5594,3.470596702227787E-7,
42,112011,3093,8.96348700289977E-7,
43,112012,21200,1.171104772902455E-6,
44,112013,15552,7.093211544289737E-7,
45,112014,34480,6.355934297358187E-7,
46,112015,4666,7.735958862050513E-7,
47,112016,11966,3.026289275430842E-8,
48,112017,13480,1.6931586283870707E-7,
49,112018,14831,3.3340014255248234E-8,
50,112019,46077,6.891974620769465E-7,
51,112020,1906,6.278536172468014E-7,
52,112030,2337,7.266723120499519E-7,
53,112041,4145,1.1429766344984643E-6,
54,112042,9610,1.3584873917756345E-6,
55,112043,1103,1.20521055916173E-6,
56,112044,5576,1.0097969721155923E-6,
57,112045,2564,9.746788052168718E-7,
58,112046,18320,4.182258511224729E-7,
59,112047,22718,4.037336139777835E-7,
60,112048,6256,1.2500831940551993E-14,
61,112049,17069,7.294823355832999E-7,
62,112050,8062,1.0700420432798451E-6,
63,112060,9065,9.914019306208645E-7,
64,112070,2276,1.4606200855975508E-6,
65,112111,39164,1.5410954170078315E-7,
66,112112,4819,5.951551719531133E-7,
67,112113,7180,9.154735884205489E-7,
68,112114,4624,5.816420883477124E-7,
69,112115,1326,5.658172304264358E-7,
70,112116,4584,9.466598794033977E-7,
71,112117,2017,1.4594260329090385E-6,
72,112118,4443,8.652263126636419E-7,
73,112119,6741,3.598261220533231E-7,
74,112120,6306,5.281750783404124E-7,
75,112130,3588,2.0723481998246917E-6,
76,112140,5675,1.015837447103658E-6,
77,112150,567,1.9735030843683475E-7,
78,112160,4941,8.605640577869643E-7,
79,112170,17030,4.3858556324067315E-7,
80,112180,5677,1.6526442702811185E-6,
81,112190,13172,6.396706408442928E-7,
82,112200,33905,5.621946539908541E-7,
83,112300,8315,1.0256038578788925E-6,
84,112400,30830,7.677564397542876E-7,
85,112500,806,9.493500800854448E-8,
86,112600,7692,6.736020697568428E-7,
87,112700,9177,6.790764065276803E-7,
88,112801,6769,8.568141992848769E-7,
89,112802,7135,6.488443668631805E-7,
90,112803,17267,6.886919596931224E-7,
91,112804,9185,7.467180074330259E-7,
92,112805,5556,7.001095140903532E-7,
93,112806,6540,7.463971682217065E-7,
94,112807,9643,8.489722970606594E-7,
95,112808,3496,9.082961625854971E-7,
96,112809,10746,1.0576615002854981E-6,
97,112901,27,1.238331977364656E-7,
98,112902,3218,8.721769309687814E-7,
99,112903,1169,1.0469743807350178E-6,
100,112904,2951,9.413665576402068E-7,
101,112905,37,8.927996189059122E-7,
102,112906,2413,8.985318355692457E-7,
103,112907,779,7.230929105473559E-7,
104,112908,5204,8.074200031349396E-7,
105,112909,20422,1.6960495973081846E-6,
106,113000,4675,0.0,
107,114001,54761,1.5503368086774374E-6,
108,114002,2390,5.0092968035063E-7,
109,114100,1656,1.3936063205969619E-6,
110,114210,16802,1.086267246005926E-6,
111,114221,2409,1.112952783010448E-6,
112,114222,5839,2.2944187736423235E-6,
113,114223,174,9.923012759340826E-7,
114,114224,77580,7.935972509789168E-7,
115,114225,2250,2.047225242843039E-6,
116,114226,17050,1.5789561356231882E-6,
117,114227,24212,1.7019915488857146E-6,
118,114228,5771,2.0155117974054403E-6,
119,114229,9213,2.8706398156510844E-6,
120,114230,2510,1.1438898058529367E-6,
121,114240,9987,2.2655690037220243E-6,
122,114250,4469,2.4224420770247502E-6,
123,114260,6798,4.315099635177867E-6,
124,114270,14977,1.0614227367413669E-6,
125,114281,1050,9.968242164563671E-8,
126,114282,6319,3.290270016088797E-6,
127,114283,60,8.164593038149746E-8,
128,114284,14492,2.168294585858323E-7,
129,114285,1297,8.886598451177703E-8,
130,114286,6726,2.901799108225632E-6,
131,114287,4228,1.8868285567338176E-6,
132,114288,2619,1.7845715607004533E-6,
133,114289,5390,3.7047816503504423E-6,
134,114290,26586,3.7644918381361702E-6,
135,114300,722,9.109444237769898E-7,
136,114410,3376,1.0593022498513577E-6,
137,114411,11647,1.5389751285908815E-6,
138,114412,3525,1.354667549180427E-6,
139,114413,15127,1.355025174958155E-6,
140,114414,3267,1.0458886933750264E-6,
141,114415,1,1.3205512120424827E-6,
142,114416,4264,1.0293870790178604E-6,
143,114417,542,1.1942706738576765E-6,
144,114418,12522,9.728831937826974E-7,
145,114419,3385,1.0566033091622648E-6,
146,114420,17640,5.211689997400192E-7,
147,114430,12313,2.6313563410850694E-7,
148,114441,1660,2.3372668590806195E-6,
149,114442,3796,9.227488395664021E-7,
150,114443,23070,1.8153377242023715E-6,
151,114444,3586,3.462450624003582E-6,
152,114445,6066,3.047562152185111E-6,
153,114446,8489,2.8863332775419343E-6,
154,114447,2883,4.246659905149774E-6,
155,114448,12265,6.178786250823074E-6,
156,114449,8665,1.051075071347097E-5,
157,114450,473,4.634361253575533E-6,
158,114460,29132,3.7668819901277194E-6,
159,114470,26976,2.280790778571628E-6,
160,114480,17674,6.0628745901577E-6,
161,114490,22455,1.803759439849007E-5,
162,114500,27914,1.2965842293385564E-6,
163,114601,5823,1.0291809251579735E-6,
164,114602,10662,1.4975926123631535E-6,
165,114603,506,1.2197121035312854E-6,
166,114604,6933,8.207576541737539E-7,
167,114605,4090,1.067916411941184E-6,
168,114606,5583,1.1019747042482676E-6,
169,114607,21267,1.0422215773876992E-6,
170,114608,3869,1.1235167485937323E-6,
171,114609,2978,1.1745235735569695E-6,
172,114701,4745,1.7553146329605786E-6,
173,114702,5013,2.0324511070951788E-6,
174,114703,5019,1.5365705644519412E-6,
175,114704,8359,8.836506027465498E-7,
176,114705,9685,9.78733642523086E-7,
177,114706,1442,3.3320826560587675E-7,
178,114707,446,4.3312744287619846E-7,
179,114708,1479,4.95617697126477E-7,
180,114709,13,4.569736681106603E-15,
181,114801,5712,2.2831736384838798E-11,
182,114802,3134,2.066670924455234E-14,
183,114803,856,2.135261794871096E-14,
184,114804,3306,3.1912492965467556E-14,
185,114805,5341,1.878638831459261E-14,
186,114806,4465,1.630382122137943E-14,
187,114807,8853,1.6900343843575648E-14,
188,114808,9325,5.196600938320185E-6,
189,114809,12520,2.3405525383745403E-6,
190,114910,24602,5.131783368476316E-8,
191,114920,13186,2.375471854524437E-14,
192,114931,367,1.5627353618911017E-14,
193,114932,6668,2.361989126601526E-14,
194,114933,3381,2.455526698935636E-14,
195,114934,4835,2.243504029408012E-14,
196,114935,10129,1.3298447126991217E-7,
197,114936,1413,2.5295803759722367E-5,
198,114937,2005,1.9794668704076193E-5,
199,114938,7122,7.084910181257879E-6,
200,114939,3723,9.473923696518047E-8,
201,114940,17917,2.837761185971201E-6,
202,114950,8839,6.897968408423252E-6,
203,114960,17499,1.6021123277574917E-5,
204,114970,3830,6.409853321776569E-6,
205,114980,12419,2.0304177289437645E-5,
206,114990,32085,2.619032931679573E-5,
207,115101,71040,8.348089822773238E-6,
208,115102,2813,4.391452965102726E-6,
209,115103,1057,8.803911568510404E-6,
210,115201,4944,3.4406500071333395E-6,
211,115202,7332,2.5425665021248834E-6,
212,115203,9279,2.2586339111424165E-6,
213,115204,4711,3.686616500293209E-6,
214,115205,18925,4.011170483976499E-6,
215,115206,1020,1.3600948124552253E-6,
216,115207,6669,2.8721908212045037E-6,
217,115208,4606,2.830967099943933E-6,
218,115209,6567,4.96387810140233E-6,
219,115300,31550,6.763869312294723E-6,
220,115410,59,4.469375931580104E-8,
221,115421,2746,1.0919585230041585E-7,
222,115422,5910,3.8196926871462154E-7,
223,115423,190,1.444823868928121E-8,
224,115424,27002,3.4937045029354405E-6,
225,115425,317,1.7407041119257895E-7,
226,115426,4129,1.7862029928352143E-7,
227,115427,2339,1.0381581034834646E-6,
228,115428,1980,4.2174444856818436E-7,
229,115429,11579,6.687335823045629E-6,
230,115430,18309,6.199835462552932E-7,
231,115440,14238,9.169993370238433E-6,
232,115451,34,1.870225301682796E-9,
233,115452,3041,5.503701497949552E-6,
234,115453,6141,1.042344710752059E-5,
235,115454,5229,1.0301930900263692E-5,
236,115455,8528,1.1990726600577653E-6,
237,115456,4944,8.170993178206418E-6,
238,115457,740,2.586463749836099E-6,
239,115458,4129,1.2592389783889209E-5,
240,115459,17083,2.877481794976768E-5,
241,115460,8270,2.4727316777639468E-5,
242,115470,9268,4.007856410871107E-5,
243,115480,12405,3.032353857052866E-5,
244,115490,6089,3.553332869339109E-5,
245,115501,6,1.6338898509507851E-6,
246,115502,8893,3.3798898332689485E-6,
247,115503,750,4.077419719089012E-6,
248,115504,2436,5.565571200378662E-6,
249,115505,2096,3.7219282453083515E-6,
250,115506,7486,6.729557247309767E-7,
251,115507,574,2.2305483205153412E-6,
252,115508,7481,1.3145804620414095E-6,
253,115509,7552,7.598653528342507E-7,
254,115601,269,3.7239556965622924E-7,
255,115602,21806,1.4354419282854331E-5,
256,115603,1991,1.698763056673671E-5,
257,115604,2276,2.0699993367081368E-5,
258,115605,19149,3.575486832259275E-5,
259,115606,1710,5.978068238963397E-5,
260,115607,4877,4.9220070417299256E-5,
261,115608,12255,3.279605825618385E-5,
262,115711,18,0.0,
263,115712,7528,7.823041513520248E-8,
264,115713,7,0.0,
265,115714,25076,7.768052727861572E-7,
266,115715,13882,3.7878166735273096E-6,
267,115716,6926,1.176377698921674E-5,
