system:index,PfafIDDomWW_monthY2014M09,countDomWW_monthY2014M09,meanDomWW_monthY2014M09,.geo
0,111011,2536,5.096424885149172E-4,
1,111012,3921,4.5932433565180204E-6,
2,111013,1194,1.3425799553668582E-5,
3,111014,5605,2.646756648161865E-6,
4,111015,21769,2.0917107576655195E-5,
5,111016,2382,2.514790973842542E-7,
6,111017,11168,9.0577702024176E-6,
7,111018,2509,2.3205292140950747E-7,
8,111019,8353,1.7459186199195154E-6,
9,111020,14779,8.025380027685758E-7,
10,111030,6961,8.042467655152403E-6,
11,111041,17205,3.2198749927132752E-6,
12,111042,6643,3.5097362827996645E-6,
13,111043,349,4.41436904644916E-6,
14,111044,6597,4.446476046464661E-6,
15,111045,7591,3.3754714621993955E-6,
16,111046,4623,1.0841825092497666E-6,
17,111047,903,4.362797913158173E-6,
18,111048,4457,4.365167141789436E-6,
19,111049,4490,3.2176510197619553E-6,
20,111050,20250,4.66092955971014E-6,
21,111060,5660,2.437333315602091E-5,
22,111070,13788,2.5574069645842155E-4,
23,111081,5223,1.0686284053542172E-4,
24,111082,18754,1.9204544518850776E-5,
25,111083,6133,1.5983542839353925E-5,
26,111084,15194,2.5279208023588098E-5,
27,111085,10124,5.039787037893215E-6,
28,111086,2528,1.809750020363485E-6,
29,111087,13852,5.8527777829423845E-6,
30,111088,3118,1.6261785830555754E-5,
31,111089,2844,1.653838861607061E-5,
32,111090,510,8.200394203710752E-6,
33,111091,212,2.0327418761006903E-4,
34,111092,2946,2.087147028915657E-4,
35,111093,19956,3.821232029264704E-5,
36,111094,2485,8.289126921089756E-6,
37,111095,1794,5.104875103237101E-6,
38,111096,2707,2.1622800295763928E-5,
39,111097,2700,3.134210952937787E-5,
40,111098,3449,4.3700229078062575E-5,
41,111099,5594,6.486829260074648E-6,
42,112011,3093,1.3371451254256592E-6,
43,112012,21200,1.4506513954924617E-6,
44,112013,15552,1.8324937940142545E-6,
45,112014,34480,1.78983246937964E-6,
46,112015,4666,9.62405461042565E-7,
47,112016,11966,5.228178385555379E-6,
48,112017,13480,3.2978084633239358E-6,
49,112018,14831,5.605209860704324E-6,
50,112019,46077,8.097063601576214E-6,
51,112020,1906,3.42436863794773E-6,
52,112030,2337,6.563899573459302E-7,
53,112041,4145,3.2053462342408E-6,
54,112042,9610,1.918272487201572E-6,
55,112043,1103,2.658007035607255E-6,
56,112044,5576,2.001526655262125E-6,
57,112045,2564,1.8301958769488606E-6,
58,112046,18320,3.922498260970208E-6,
59,112047,22718,3.859565419587241E-6,
60,112048,6256,6.411626581984047E-6,
61,112049,17069,1.1462439522662734E-5,
62,112050,8062,2.078812310270902E-6,
63,112060,9065,2.760522065618734E-6,
64,112070,2276,4.300443359068904E-6,
65,112111,39164,1.6639757934521017E-5,
66,112112,4819,3.0747663397381343E-6,
67,112113,7180,1.9618385274963716E-6,
68,112114,4624,4.664186749165956E-6,
69,112115,1326,2.7299191172089813E-6,
