system:index,PfafIDDomWW_monthY2014M03,countDomWW_monthY2014M03,meanDomWW_monthY2014M03,.geo
0,111011,2536,4.7639193963292095E-4,
1,111012,3921,4.30468458138436E-6,
2,111013,1194,1.2560371185499865E-5,
3,111014,5605,2.4865205589313484E-6,
4,111015,21769,1.9616910541233815E-5,
5,111016,2382,2.3671654964507133E-7,
6,111017,11168,8.520895336630998E-6,
7,111018,2509,2.1942436255205005E-7,
8,111019,8353,1.643653436931276E-6,
9,111020,14779,7.561419605007702E-7,
10,111030,6961,7.575365353417453E-6,
11,111041,17205,3.0293088323563665E-6,
12,111042,6643,3.3005596361987096E-6,
13,111043,349,4.145752877305313E-6,
14,111044,6597,4.176230856271023E-6,
15,111045,7591,3.169463687697744E-6,
16,111046,4623,1.0176992931613152E-6,
17,111047,903,4.094114883955631E-6,
18,111048,4457,4.092467020595521E-6,
19,111049,4490,3.0193392605523935E-6,
20,111050,20250,4.3712682422746E-6,
21,111060,5660,2.2823785661691214E-5,
22,111070,13788,2.387388685049542E-4,
23,111081,5223,9.993782363384816E-5,
24,111082,18754,1.8201998114521783E-5,
25,111083,6133,1.5079712000381524E-5,
26,111084,15194,2.4774269236964643E-5,
27,111085,10124,4.85835734310139E-6,
28,111086,2528,1.7738457412859946E-6,
29,111087,13852,5.725575923323029E-6,
30,111088,3118,1.6075320227039338E-5,
31,111089,2844,1.6360853158794492E-5,
32,111090,510,7.848577387083847E-6,
33,111091,212,1.897448612868541E-4,
34,111092,2946,1.954199746056731E-4,
35,111093,19956,3.5931749117133944E-5,
36,111094,2485,7.91931419362704E-6,
37,111095,1794,4.887885400972393E-6,
38,111096,2707,2.0834777264577314E-5,
39,111097,2700,3.091726417248451E-5,
40,111098,3449,4.325122681553601E-5,
41,111099,5594,6.098378380556314E-6,
42,112011,3093,1.339287472874362E-6,
43,112012,21200,1.4340732316273924E-6,
44,112013,15552,1.8242752795679723E-6,
45,112014,34480,1.799175402187738E-6,
46,112015,4666,9.756360987084854E-7,
47,112016,11966,5.056785832465301E-6,
48,112017,13480,3.218790249429046E-6,
49,112018,14831,5.407621522462341E-6,
50,112019,46077,7.83834418420346E-6,
51,112020,1906,3.2714263522199076E-6,
52,112030,2337,6.3880111705708E-7,
53,112041,4145,3.3678509714045214E-6,
54,112042,9610,2.0042568652856387E-6,
55,112043,1103,2.780375529361027E-6,
56,112044,5576,2.0736359835604424E-6,
57,112045,2564,1.91704127513242E-6,
58,112046,18320,3.998718809767742E-6,
59,112047,22718,3.868763801263746E-6,
60,112048,6256,6.298908796759613E-6,
61,112049,17069,1.1179739072011672E-5,
62,112050,8062,2.14544662767054E-6,
63,112060,9065,2.9069832323189134E-6,
64,112070,2276,4.536217652447262E-6,
65,112111,39164,1.5910165825018344E-5,
66,112112,4819,2.9590964816882304E-6,
67,112113,7180,1.8609041434173083E-6,
68,112114,4624,4.4858439275246125E-6,
69,112115,1326,2.5834698376535046E-6,
70,112116,4584,4.445503419608306E-6,
71,112117,2017,1.5554015773137332E-6,
72,112118,4443,2.2524041404195024E-5,
73,112119,6741,5.963601588071826E-6,
74,112120,6306,4.4396493648633384E-7,
75,112130,3588,3.517149556646918E-7,
76,112140,5675,8.190606358663606E-7,
77,112150,567,2.820591757984272E-7,
78,112160,4941,7.454360404089416E-7,
79,112170,17030,7.941342117092746E-7,
80,112180,5677,8.664528134466216E-7,
81,112190,13172,8.217643811038355E-7,
82,112200,33905,1.0602861515548012E-6,
83,112300,8315,1.4095920293012178E-6,
84,112400,30830,1.927658619217363E-6,
85,112500,806,1.3109299576885492E-6,
86,112600,7692,1.4332323374358713E-6,
87,112700,9177,1.329750503326374E-6,
88,112801,6769,8.888211212731109E-7,
89,112802,7135,4.760012819329735E-7,
90,112803,17267,3.3960133697849063E-7,
91,112804,9185,2.1534329904165755E-6,
92,112805,5556,7.385577558987888E-7,
93,112806,6540,1.6565168943810719E-6,
94,112807,9643,8.271401407463813E-7,
95,112808,3496,1.4509948779345813E-6,
96,112809,10746,5.802294954741134E-6,
97,112901,27,2.044290825289771E-6,
98,112902,3218,1.0013073402951239E-6,
99,112903,1169,9.070533508939674E-7,
100,112904,2951,1.405895269777735E-6,
101,112905,37,1.4570895808152951E-6,
102,112906,2413,1.724791663755355E-6,
103,112907,779,1.8725718518262793E-6,
104,112908,5204,1.6602172034846075E-6,
105,112909,20422,1.2697072633119024E-5,
106,113000,4675,0.0,
107,114001,54761,6.132336575390763E-6,
108,114002,2390,1.4200743111404004E-6,
